"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG30172",3.02052832165942e-93,1.72142514220615,0.953,0.532,3.86567214605973e-89,"atlas_1h_alh","CG30172"
"lncRNA:cherub",2.85251530091021e-88,-5.05362086123554,0.007,0.726,3.65064908210488e-84,"atlas_1h_alh","lncRNA:cherub"
"Hex-A",2.28065984545612e-83,1.55785515305107,1,0.837,2.91878847021474e-79,"atlas_1h_alh","Hex-A"
"Drep2",1.94496147845373e-67,1.58297334729147,0.898,0.459,2.48916170012508e-63,"atlas_1h_alh","Drep2"
"betaTub56D",1.59483490906542e-66,-1.34857783309032,0.817,0.955,2.04106971662192e-62,"atlas_1h_alh","betaTub56D"
"Tsp66E",1.95717429438923e-66,1.91064155750772,0.658,0.176,2.50479166195934e-62,"atlas_1h_alh","Tsp66E"
"His4r",4.07986403656221e-63,1.22555655615941,0.949,0.657,5.22140999399232e-59,"atlas_1h_alh","His4r"
"mt:CoI",1.94420503248615e-62,-1.4260616004059,0.729,0.927,2.48819360057577e-58,"atlas_1h_alh","mt:CoI"
"Bacc",1.02032370680854e-60,1.6393805732887,0.878,0.542,1.30581027997357e-56,"atlas_1h_alh","Bacc"
"UQCR-11",4.5093406229085e-59,1.7232502146088,0.769,0.319,5.77105412919829e-55,"atlas_1h_alh","UQCR-11"
"Rdh",1.10056497614126e-57,1.9574276627077,0.569,0.145,1.40850305646559e-53,"atlas_1h_alh","Rdh"
"bel",1.12336366088357e-54,1.32181435895233,0.925,0.577,1.43768081319879e-50,"atlas_1h_alh","bel"
"CG14312",6.23717976874978e-54,1.79535900507176,0.542,0.134,7.98234266804596e-50,"atlas_1h_alh","CG14312"
"cib",1.89486723636868e-53,-2.34851075777752,0.342,0.733,2.42505108910464e-49,"atlas_1h_alh","cib"
"Cngl",8.21704353090818e-52,1.67302864143069,0.837,0.452,1.05161723108563e-47,"atlas_1h_alh","Cngl"
"eEF1alpha1",1.66659818921081e-49,-1.88373851807439,0.39,0.743,2.132912362552e-45,"atlas_1h_alh","eEF1alpha1"
"Pde6",1.70855856986059e-49,1.86655016947313,0.539,0.147,2.18661325770758e-45,"atlas_1h_alh","Pde6"
"cdc14",2.73198281451757e-48,1.60632939645319,0.576,0.167,3.49639160601958e-44,"atlas_1h_alh","cdc14"
"Eip75B",2.77615158592066e-48,1.60501452975764,0.729,0.318,3.55291879966126e-44,"atlas_1h_alh","Eip75B"
"crol",2.04197349072047e-47,1.56087356584667,0.631,0.211,2.61331767342406e-43,"atlas_1h_alh","crol"
"sif",3.8660846720225e-47,1.39474660454961,0.841,0.444,4.94781516325439e-43,"atlas_1h_alh","sif"
"ATPsynF",4.19568550156607e-47,1.17989349792407,0.898,0.519,5.36963830490425e-43,"atlas_1h_alh","ATPsynF"
"CG7630",1.72883895689004e-46,1.14511842438532,0.929,0.637,2.21256809702787e-42,"atlas_1h_alh","CG7630"
"mt:ATPase6",3.69317210230545e-46,-1.60744929012234,0.519,0.806,4.72652165653051e-42,"atlas_1h_alh","mt:ATPase6"
"Sytbeta",1.5049700115314e-45,2.09177259524839,0.471,0.122,1.92606062075789e-41,"atlas_1h_alh","Sytbeta"
"nAChRalpha6",8.03080775695303e-45,0.966817199463989,0.976,0.835,1.02778277673485e-40,"atlas_1h_alh","nAChRalpha6"
"cype",3.85294215882278e-43,1.01245064158064,0.942,0.775,4.93099537486139e-39,"atlas_1h_alh","cype"
"Nlg3",5.87766135262255e-43,1.77210049384368,0.427,0.096,7.52223099908634e-39,"atlas_1h_alh","Nlg3"
"fabp",7.03096003627015e-43,-2.54185670537917,0.142,0.568,8.99822265441854e-39,"atlas_1h_alh","fabp"
"Rap1",1.25371818769931e-42,1.34219855813019,0.729,0.326,1.60450853661758e-38,"atlas_1h_alh","Rap1"
