"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"beat-IIa",0,3.2305610429997,0.568,0.045,0,"Undifferentiated - 4","beat-IIa"
"Ldh",0,3.22236312462086,0.941,0.179,0,"Undifferentiated - 4","Ldh"
"Toll-7",0,2.16677351752973,0.671,0.114,0,"Undifferentiated - 4","Toll-7"
"dsh",0,2.10069126711719,0.472,0.039,0,"Undifferentiated - 4","dsh"
"Toll-6",0,2.00460139006149,0.626,0.126,0,"Undifferentiated - 4","Toll-6"
"Liprin-gamma",0,1.98566705911241,0.832,0.163,0,"Undifferentiated - 4","Liprin-gamma"
"Pal2",0,1.9639574626151,0.496,0.059,0,"Undifferentiated - 4","Pal2"
"dpr9",0,1.94976192866551,0.569,0.094,0,"Undifferentiated - 4","dpr9"
"Hsp27",0,1.9227264027245,0.875,0.271,0,"Undifferentiated - 4","Hsp27"
"cib",0,1.84322043607398,0.922,0.367,0,"Undifferentiated - 4","cib"
"dpr14",0,1.82957328309591,0.516,0.066,0,"Undifferentiated - 4","dpr14"
"AMPdeam",0,1.82786141811391,0.522,0.062,0,"Undifferentiated - 4","AMPdeam"
"trv",0,1.7832493077875,0.784,0.286,0,"Undifferentiated - 4","trv"
"DIP1",0,1.73226510044738,0.512,0.069,0,"Undifferentiated - 4","DIP1"
"cdi",0,1.65445436388267,0.643,0.113,0,"Undifferentiated - 4","cdi"
"Sap47",0,1.63360494625903,0.947,0.415,0,"Undifferentiated - 4","Sap47"
"Hex-A",0,1.55195114448144,0.816,0.258,0,"Undifferentiated - 4","Hex-A"
"sbb",0,1.48898649310228,0.883,0.302,0,"Undifferentiated - 4","sbb"
"Rbp6",0,1.42082169381086,0.886,0.416,0,"Undifferentiated - 4","Rbp6"
"His3.3B",0,1.400209831158,0.903,0.358,0,"Undifferentiated - 4","His3.3B"
"fz2",0,1.39695985420839,0.865,0.322,0,"Undifferentiated - 4","fz2"
"Alk",0,1.39691955520157,0.83,0.265,0,"Undifferentiated - 4","Alk"
"smt3",0,1.25797408809691,0.93,0.436,0,"Undifferentiated - 4","smt3"
"RpL29",0,1.18777015031163,0.962,0.504,0,"Undifferentiated - 4","RpL29"
"betaTub56D",0,1.10107911090803,0.979,0.616,0,"Undifferentiated - 4","betaTub56D"
"RpL39",0,0.93097141053315,0.998,0.874,0,"Undifferentiated - 4","RpL39"
"14-3-3zeta",0,0.891046309756431,0.996,0.856,0,"Undifferentiated - 4","14-3-3zeta"
"Obp44a",0,-1.48063058795888,0.837,0.942,0,"Undifferentiated - 4","Obp44a"
"lncRNA:noe",0,-1.58158104754724,0.66,0.891,0,"Undifferentiated - 4","lncRNA:noe"
"lncRNA:roX1",0,-2.49852090263369,0.261,0.673,0,"Undifferentiated - 4","lncRNA:roX1"
"mt:lrRNA",0,-3.08654254709636,0.861,0.982,0,"Undifferentiated - 4","mt:lrRNA"
"mt:srRNA",0,-3.38421874277194,0.075,0.465,0,"Undifferentiated - 4","mt:srRNA"
"Usp7",1.86506137585454e-307,1.36752208364727,0.654,0.141,2.38690554881864e-303,"Undifferentiated - 4","Usp7"
"Rbfox1",4.95998468176564e-306,1.08845680027638,0.932,0.462,6.34778839572367e-302,"Undifferentiated - 4","Rbfox1"
"ctp",1.49364059553404e-303,1.12544877883593,0.919,0.446,1.91156123416447e-299,"Undifferentiated - 4","ctp"
"Dhit",1.23763159266217e-294,1.44473456620136,0.598,0.118,1.58392091228905e-290,"Undifferentiated - 4","Dhit"
"elB",1.33851125654881e-290,2.04129857106402,0.43,0.042,1.71302670613116e-286,"Undifferentiated - 4","elB"
"egh",6.02942514873624e-287,1.60747725919587,0.492,0.07,7.71645830535265e-283,"Undifferentiated - 4","egh"
"emb",6.15113275719058e-284,1.44953313489283,0.547,0.097,7.87221970265251e-280,"Undifferentiated - 4","emb"
"nAChRalpha6",3.13788547505567e-282,1.19965528814193,0.842,0.315,4.01586583097625e-278,"Undifferentiated - 4","nAChRalpha6"
