"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG12177",5.40503248910398e-297,3.31696185970619,0.515,0.045,6.91736057955527e-293,"atlas_1h_alh","CG12177"
"Cys",1.52539271005831e-275,3.6158567606744,0.774,0.167,1.95219759033263e-271,"atlas_1h_alh","Cys"
"CG12355",2.57558688708178e-220,2.89153932589912,0.491,0.063,3.29623609808726e-216,"atlas_1h_alh","CG12355"
"fabp",9.22974636426487e-197,-2.5162109148387,0.614,0.966,1.18122293969862e-192,"atlas_1h_alh","fabp"
"Npc2a",1.54080847572993e-196,2.41539991714751,0.929,0.515,1.97192668723916e-192,"atlas_1h_alh","Npc2a"
"lncRNA:cherub",5.57698786484736e-195,-5.53343008783354,0.02,0.81,7.13742906943166e-191,"atlas_1h_alh","lncRNA:cherub"
"CG9691",2.53973620056709e-163,2.68055564995453,0.614,0.145,3.25035438948576e-159,"atlas_1h_alh","CG9691"
"CG43085",1.01979791658808e-161,2.95035852509004,0.915,0.547,1.30513737364942e-157,"atlas_1h_alh","CG43085"
"CG6356",1.44363880456551e-159,2.57836601747564,0.741,0.268,1.84756894208294e-155,"atlas_1h_alh","CG6356"
"Tsp42Ea",3.34156190781614e-154,1.80783642043371,0.184,0.006,4.27653092962309e-150,"atlas_1h_alh","Tsp42Ea"
"betaTub56D",4.42471796680186e-152,-2.46823378357037,0.372,0.851,5.66275405391302e-148,"atlas_1h_alh","betaTub56D"
"CG1545",4.70147986428847e-144,2.1995790411144,0.495,0.099,6.01695393031638e-140,"atlas_1h_alh","CG1545"
"cib",9.94768287609687e-138,-4.00757912515547,0.085,0.7,1.27310445448288e-133,"atlas_1h_alh","cib"
"CG8501",1.36483288513347e-128,1.84731115898258,0.202,0.013,1.74671312639382e-124,"atlas_1h_alh","CG8501"
"CG11425",8.67431386987221e-126,2.8747763811951,0.511,0.136,1.11013868906625e-121,"atlas_1h_alh","CG11425"
"Act5C",2.07608998433092e-124,-2.83161760825636,0.162,0.717,2.65697996194671e-120,"atlas_1h_alh","Act5C"
"eEF1alpha1",1.19523260655707e-121,-1.74925785792163,0.515,0.883,1.52965868987174e-117,"atlas_1h_alh","eEF1alpha1"
