"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ocho",2.43618621932999e-103,-0.667068109971034,0.15,0.624,3.11783112349853e-99,"Nonannotated progenitors","Ocho"
"CCT6",3.91538449172168e-91,-0.478566708648899,0.145,0.591,5.0109090725054e-87,"Nonannotated progenitors","CCT6"
"Tom",6.15354041903733e-90,-0.619160674274744,0.127,0.535,7.87530102828397e-86,"Nonannotated progenitors","Tom"
"E(spl)m5-HLH",2.60667378332031e-89,-0.487459270012981,0.142,0.573,3.33602110789333e-85,"Nonannotated progenitors","E(spl)m5-HLH"
"E(spl)m3-HLH",6.32226235378427e-84,-0.573386813322259,0.198,0.677,8.09123136037311e-80,"Nonannotated progenitors","E(spl)m3-HLH"
"Ppa",4.64129230636743e-83,-0.566516468085493,0.166,0.603,5.93992589368904e-79,"Nonannotated progenitors","Ppa"
"CCT5",4.06924642847186e-82,-0.451166407307797,0.161,0.603,5.20782157915829e-78,"Nonannotated progenitors","CCT5"
"nop5",2.1685599271197e-81,-0.535126600955246,0.181,0.641,2.77532299472779e-77,"Nonannotated progenitors","nop5"
"CCT7",1.75461228312067e-79,-0.390118405150195,0.12,0.498,2.24555279993783e-75,"Nonannotated progenitors","CCT7"
"CCT3",3.97395495799818e-79,-0.440914177121924,0.15,0.567,5.08586755524607e-75,"Nonannotated progenitors","CCT3"
"Phb2",5.13811325891939e-79,-0.421173633824398,0.129,0.518,6.57575734876504e-75,"Nonannotated progenitors","Phb2"
"Fib",5.73688746413412e-77,-0.391158837857498,0.09,0.416,7.34206857659885e-73,"Nonannotated progenitors","Fib"
"CG4038",7.04651860581524e-77,-0.411761216179942,0.177,0.62,9.01813451172234e-73,"Nonannotated progenitors","CG4038"
"Myc",7.05084370790481e-77,-0.47051579621343,0.136,0.523,9.02366977737657e-73,"Nonannotated progenitors","Myc"
"UQCR-C1",3.9160134557861e-74,-0.294287569338965,0.147,0.551,5.01171402071505e-70,"Nonannotated progenitors","UQCR-C1"
"Prosalpha7",1.16569814989936e-73,-0.305296177562215,0.139,0.528,1.49186049224121e-69,"Nonannotated progenitors","Prosalpha7"
"Diap2",2.27705398020867e-73,-0.425758331379985,0.027,0.228,2.91417368387105e-69,"Nonannotated progenitors","Diap2"
"HP4",2.97947101360422e-73,-0.519965738055648,0.136,0.51,3.81312700321068e-69,"Nonannotated progenitors","HP4"
"mRpS30",3.9929117537017e-73,-0.306135986063893,0.086,0.397,5.11012846238744e-69,"Nonannotated progenitors","mRpS30"
"CG4069",2.91038895402009e-72,-0.315034196642053,0.065,0.339,3.72471578335491e-68,"Nonannotated progenitors","CG4069"
"tll",8.72245353276457e-72,-0.331597048183035,0.072,0.356,1.11629960312321e-67,"Nonannotated progenitors","tll"
"Ahcy",8.80493873261435e-72,-0.334897584378262,0.114,0.463,1.12685605899998e-67,"Nonannotated progenitors","Ahcy"
"CG12581",4.86440935811794e-71,-0.344975266951319,0.046,0.282,6.22547109651934e-67,"Nonannotated progenitors","CG12581"
