"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"lncRNA:CR31386",0,-3.01003653767679,0.333,0.956,0
"Syp",0,-3.26173661677557,0.343,0.923,0
"Hsp27",0,-1.56849141998988,0.837,1,0
"fru",0,-1.51172255402891,0.436,0.972,0
"lncRNA:CR46003",0,-1.51741193501107,0.378,0.941,0
"CycB3",1.55558264734346e-296,-1.58769515663006,0.167,0.702,3.11116529468691e-293
"wdp",3.60846376882925e-292,-1.17166101827281,0.325,0.837,7.2169275376585e-289
"Rcc1",5.46025874886107e-292,-1.34523786246601,0.203,0.743,1.09205174977221e-288
"IntS11",4.32814197126591e-289,-1.53558659732007,0.294,0.759,8.65628394253181e-286
"Prosalpha6",6.50113397106109e-288,-1.15946140826,0.284,0.872,1.30022679421222e-284
"Pen",2.05658341113403e-286,-1.23835122029476,0.82,0.999,4.11316682226806e-283
"HnRNP-K",5.00065223448099e-285,-1.39088512682061,0.436,0.958,1.0001304468962e-281
"nop5",9.08191374016696e-282,-1.13580132332945,0.255,0.829,1.81638274803339e-278
"Mcm7",3.07063451902495e-280,-1.5377602738436,0.413,0.931,6.14126903804989e-277
"CG42806",9.8352233217913e-280,-1.41134759742692,0.375,0.903,1.96704466435826e-276
"dUTPase",1.48367085936558e-274,-1.20157039518063,0.334,0.941,2.96734171873117e-271
"betaTub56D",3.28713469241083e-274,-1.18930853266669,0.971,1,6.57426938482167e-271
"CycE",1.8600807282555e-270,-1.46772814819476,0.36,0.902,3.720161456511e-267
"Moe",1.25186872611622e-264,-1.19877424315783,0.319,0.872,2.50373745223244e-261
"dpa",5.24626548577132e-255,-1.33784258472194,0.322,0.786,1.04925309715426e-251
"mnd",5.42859231618111e-253,-1.09072112482064,0.315,0.864,1.08571846323622e-249
"Ran",6.46867802302742e-252,-1.36825158770913,0.506,0.973,1.29373560460549e-248
"mRpL34",1.46618586687068e-249,-1.18152769788734,0.393,0.928,2.93237173374136e-246
"Hsp23",7.15549207537121e-246,-1.32659102172472,0.364,0.902,1.43109841507424e-242
"DNApol-alpha60",5.42601426025504e-243,-1.02916175372424,0.137,0.573,1.08520285205101e-239
"Pex7",3.88918044928216e-242,-1.07635838726354,0.364,0.823,7.77836089856432e-239
"SpdS",5.65349524213191e-234,-1.01186097838564,0.168,0.593,1.13069904842638e-230
"lncRNA:CR33938",1.65316740297261e-232,-1.7998463278714,0.239,0.806,3.30633480594521e-229
"Ntf-2",4.15491147779064e-232,-1.02324448567289,0.346,0.89,8.30982295558128e-229
"Pglym78",1.28260219091435e-231,-0.908450505569269,0.331,0.829,2.5652043818287e-228
"grh",3.00880861599807e-231,-1.22646702444383,0.57,0.993,6.01761723199614e-228
"Mob2",9.36147532970138e-231,-0.766068106813968,0.197,0.644,1.87229506594028e-227
"msd1",8.77902176649399e-230,-0.90938084532051,0.177,0.631,1.7558043532988e-226
"CG14434",1.27302711787757e-228,-0.787092040785857,0.301,0.774,2.54605423575515e-225
"svp",1.69060311646788e-224,-0.878469064043563,0.338,0.858,3.38120623293576e-221
"Oatp74D",2.65637321540466e-220,-1.74772749777019,0.243,0.713,5.31274643080932e-217
