"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"lncRNA:CR34335",0,0.773469438240552,1,1,0
"Alk",0,-2.87895613295766,0.238,0.725,0
"fz2",0,-2.45747383057307,0.394,0.913,0
"trv",2.30414095694478e-283,-2.57415441189188,0.302,0.772,4.60828191388956e-280
"lncRNA:noe",4.46094398332759e-280,-2.48645267828518,0.35,0.788,8.92188796665517e-277
"Hsp27",6.54578376841785e-271,-1.63236982351536,0.702,0.957,1.30915675368357e-267
"Rbp6",8.38047434714841e-252,-2.09621924458094,0.32,0.769,1.67609486942968e-248
"mspo",1.40425524169803e-250,-2.54420217964993,0.221,0.684,2.80851048339606e-247
"Imp",6.77811723070319e-249,-1.65203840920576,0.574,0.921,1.35562344614064e-245
"CG17124",2.00699156652382e-239,-2.27476182616973,0.268,0.701,4.01398313304765e-236
"Fas2",1.11099191555552e-225,-1.94028754647999,0.439,0.837,2.22198383111104e-222
"lncRNA:cherub",1.76805247987704e-211,1.12595073898999,0.951,0.916,3.53610495975408e-208
"bi",2.83038519499739e-175,-1.37798151122837,0.26,0.668,5.66077038999477e-172
"elB",1.64041719644296e-169,-1.10349261902479,0.285,0.649,3.28083439288593e-166
"tow",1.20689071640969e-167,-1.22112745777132,0.254,0.637,2.41378143281937e-164
"ab",1.0619395400324e-161,-2.18693889587366,0.216,0.574,2.12387908006481e-158
"stai",1.06139334988434e-160,-1.29526683575309,0.451,0.816,2.12278669976868e-157
"gsb-n",4.27382313254707e-158,0.278057746741944,0.165,0.065,8.54764626509413e-155
"tnc",8.38913702771865e-152,-2.01824937654239,0.214,0.575,1.67782740554373e-148
"dally",1.07217583659521e-151,-0.947526582602693,0.309,0.691,2.14435167319041e-148
"Toll-6",1.0995998836455e-151,-1.46903721516288,0.367,0.732,2.199199767291e-148
"beat-IIa",5.28164695296667e-143,-1.32687245966412,0.22,0.546,1.05632939059333e-139
"tth",2.47409235323864e-138,-0.320925633840747,0.176,0.522,4.94818470647727e-135
"Akh",3.80996711567508e-136,-0.239410449762954,0.085,0.408,7.61993423135015e-133
"Pdfr",9.68827329624279e-135,-0.221329243626721,0.126,0.43,1.93765465924856e-131
"disco-r",4.51651534939306e-130,-1.38474805351979,0.141,0.467,9.03303069878612e-127
"jim",7.22804339436148e-128,-1.68628313016638,0.246,0.647,1.4456086788723e-124
"CG33993",3.47006669330655e-127,-0.165848167773116,0.105,0.419,6.9401333866131e-124
"kek3",2.42816486792001e-126,-1.1756693086359,0.193,0.481,4.85632973584002e-123
"pre-rRNA:CR45845",7.06879787412378e-126,-0.677503573082261,0.184,0.53,1.41375957482476e-122
"mab-21",2.09437038958269e-124,-0.71576344806884,0.16,0.491,4.18874077916538e-121
"salr",9.52169146982866e-124,-0.544732867433617,0.102,0.418,1.90433829396573e-120
"rho",5.48050749652408e-123,-0.624684286201992,0.179,0.487,1.09610149930482e-119
"ND-24",1.8247947399409e-121,-0.262383911602314,0.06,0.378,3.64958947988181e-118
"Pal2",9.76514523603883e-121,-0.794990760464568,0.204,0.504,1.95302904720777e-117
"SoxN",1.88464880768342e-120,-0.852949727323185,0.332,0.691,3.76929761536684e-117
"dpr9",4.07427401639107e-120,-1.28936794699596,0.215,0.53,8.14854803278215e-117
"Trim9",2.8678652795911e-117,-0.995378610547503,0.326,0.655,5.73573055918221e-114
"Bacc",3.50722237486655e-116,0.874515250984152,0.84,0.742,7.01444474973311e-113
"Dhit",7.31894893684176e-116,-1.90121131949321,0.171,0.518,1.46378978736835e-112
"nemy",9.22248009926907e-116,-0.136353779379792,0.12,0.415,1.84449601985381e-112
"Act57B",2.13234183110102e-115,-0.185094663590568,0.12,0.429,4.26468366220203e-112
"CG30116",2.62454306393617e-115,-0.896075686540889,0.207,0.483,5.24908612787233e-112
"RpL38",1.85311302055134e-114,0.633241093958891,0.946,0.875,3.70622604110268e-111
"tai",5.83064162108476e-114,-0.901501147549246,0.304,0.644,1.16612832421695e-110
"5-HT2A",8.03559462594216e-114,-0.315431399752271,0.167,0.449,1.60711892518843e-110
"nub",1.90015110234681e-113,-0.237653402779087,0.156,0.44,3.80030220469362e-110
"lncRNA:CR45388",2.58716963730855e-113,1.66473050529777,0.643,0.544,5.17433927461709e-110
"MFS3",8.31976541893655e-113,0.100295727747985,0.094,0.403,1.66395308378731e-109
"CG11319",1.6287371938842e-112,-0.581921872713599,0.173,0.456,3.2574743877684e-109
"Ggamma30A",1.98476536176176e-112,-1.92880524787589,0.226,0.592,3.96953072352351e-109
"CG18507",1.08520292764565e-111,-0.115238569755141,0.161,0.451,2.17040585529129e-108
"Usp10",4.07820883438908e-111,-0.129420986109017,0.133,0.421,8.15641766877816e-108
"for",7.03254282141654e-111,-0.323600341725868,0.122,0.424,1.40650856428331e-107
"lncRNA:CR43334",6.26864364302183e-110,-0.260862569373206,0.084,0.393,1.25372872860437e-106
"Ace",9.93741336616528e-110,-0.51871685217499,0.171,0.466,1.98748267323306e-106
"CG13690",1.14063455195244e-108,-0.104428945090582,0.16,0.439,2.28126910390488e-105
"CG31869",8.41770380817537e-108,-0.394805785558693,0.15,0.446,1.68354076163507e-104
"pnt",3.61894775365483e-107,-0.192326288864778,0.089,0.389,7.23789550730965e-104
"AdamTS-B",2.51566192522686e-105,-0.147582337101832,0.182,0.453,5.03132385045372e-102
"caup",3.30786887298668e-105,-0.435552011058007,0.165,0.439,6.61573774597336e-102
"Wnt4",1.02435440574656e-104,-1.11075591460597,0.302,0.646,2.04870881149313e-101
"CG8306",5.24141006077086e-101,-0.103303351185331,0.166,0.445,1.04828201215417e-97
"LanB1",1.7708575517792e-100,-0.125957009995662,0.085,0.38,3.54171510355839e-97
"CG10226",2.56447936439106e-100,0.135095855720365,0.047,0.314,5.12895872878212e-97
"pio",6.95407536514943e-99,-0.204425614158964,0.195,0.452,1.39081507302989e-95
"CG18428",4.59901322555633e-98,-0.234151448919899,0.21,0.486,9.19802645111266e-95
"LamC",8.1247954410725e-98,-0.24448627714561,0.191,0.457,1.6249590882145e-94
"Cse1",8.85600174199286e-96,-0.432770953068312,0.138,0.427,1.77120034839857e-92
"CG43693",5.03999943050526e-95,-0.138433136094661,0.11,0.393,1.00799988610105e-91
"bowl",1.17824872971427e-94,-0.262685170439718,0.18,0.454,2.35649745942854e-91
"DIP-zeta",6.61225829507663e-93,-0.298178790635217,0.124,0.401,1.32245165901533e-89
"Hsp26",8.18784890852741e-93,-1.20034358981479,0.413,0.707,1.63756978170548e-89
"CG5953",1.04677477113615e-92,-0.297077679765774,0.048,0.348,2.09354954227229e-89
"TppII",1.45094020779253e-92,-0.111199092249877,0.06,0.354,2.90188041558505e-89
"CG31475",2.31334804668047e-91,-0.38543382304397,0.168,0.423,4.62669609336095e-88
"hb",4.36745554642827e-91,-0.135363792498785,0.165,0.431,8.73491109285653e-88
"Optix",1.36872705369486e-90,-1.10758563053723,0.166,0.456,2.73745410738973e-87
"CG11768",3.03555965875159e-90,-0.425379183497253,0.172,0.438,6.07111931750318e-87
"CG5112",4.01143535500642e-89,-0.11809313780862,0.109,0.383,8.02287071001284e-86
"pros",1.5363758034272e-88,-2.25561349257598,0.246,0.568,3.07275160685439e-85
"vir-1",1.55867753475349e-88,-0.337811188473292,0.237,0.506,3.11735506950698e-85
"CG32532",3.32406070758921e-88,-0.82415223730265,0.204,0.484,6.64812141517841e-85
"jeb",3.35883792113027e-88,-1.17670371195864,0.242,0.536,6.71767584226053e-85
"Jheh2",3.40572333443978e-88,-0.104097830691031,0.11,0.39,6.81144666887956e-85
"robo2",9.75722880492958e-88,1.67835929150275,0.472,0.342,1.95144576098592e-84
"betaTub56D",2.76771499475933e-87,-0.67453468292666,0.809,0.951,5.53542998951866e-84
"CG1552",8.09819225138243e-86,0.167231839111411,0.116,0.391,1.61963845027649e-82
"Lim3",1.51400611980823e-85,-0.561601663439105,0.151,0.428,3.02801223961646e-82
"CG14075",1.52221492994548e-84,-0.171369147262017,0.162,0.42,3.04442985989097e-81
"hdly",2.2794412244416e-84,-0.380905820741313,0.172,0.446,4.5588824488832e-81
"E(spl)m4-BFM",4.79479908123029e-84,-0.172666585235641,0.136,0.4,9.58959816246059e-81
"lncRNA:iab8",5.4344273460394e-84,-0.245131248254556,0.157,0.421,1.08688546920788e-80
"Pdp1",1.38423523766935e-83,-0.563549719023437,0.235,0.5,2.7684704753387e-80
"eIF4G2",1.43606983708211e-83,-0.123117431800469,0.204,0.507,2.87213967416422e-80
"Fer1",9.06553776558542e-82,-0.269030341951237,0.082,0.354,1.81310755311708e-78
"Hsc70Cb",3.67539663110889e-81,-0.643293167139072,0.417,0.72,7.35079326221777e-78
"HmgD",2.84897926597752e-80,0.888950831776567,0.662,0.565,5.69795853195504e-77
"zyd",4.58662339151708e-80,-0.153324493403644,0.119,0.392,9.17324678303417e-77
"CG14830",7.63426715844282e-80,-0.120305306171959,0.191,0.451,1.52685343168856e-76
"E(spl)m6-BFM",1.28818540782273e-79,3.00277154405362,0.506,0.462,2.57637081564546e-76
"CG15890",1.81851542401285e-79,-0.106586846683613,0.2,0.444,3.63703084802569e-76
"SPR",2.20630445718055e-79,-0.778192987359946,0.174,0.429,4.41260891436109e-76
"CG10479",2.99626372360419e-79,0.434834804990123,0.129,0.405,5.99252744720837e-76
"Gpb5",1.86107205995639e-78,-0.316976782130849,0.1,0.371,3.72214411991277e-75
"lncRNA:CR43264",3.71927218198885e-78,-0.534129758001046,0.167,0.422,7.43854436397769e-75
"Hrs",7.02238523577549e-78,-0.117404789369257,0.078,0.355,1.4044770471551e-74
"Proc-R",9.66637714981768e-78,-0.125630658963876,0.147,0.414,1.93327542996354e-74
"mamo",4.38962130548257e-76,-2.85595780712538,0.103,0.465,8.77924261096513e-73
"cdc14",5.30046683739153e-76,-0.71505316717325,0.173,0.447,1.06009336747831e-72
"CG18190",4.6735040644369e-73,0.254940093089409,0.185,0.165,9.3470081288738e-70
"CG9336",1.34964390285554e-72,0.135909918919841,0.153,0.405,2.69928780571108e-69
"Thor",2.17403538066231e-72,-0.386055024642508,0.19,0.435,4.34807076132462e-69
"His3.3B",2.38199527707396e-72,-0.9583100766087,0.724,0.938,4.76399055414791e-69
"dsd",2.77505931935111e-72,-0.211063658502185,0.257,0.536,5.55011863870221e-69
"Cow",4.545603563505e-72,-0.12680521073742,0.176,0.154,9.09120712701001e-69
"Rgk1",2.28745890182544e-71,-0.363665714589201,0.201,0.448,4.57491780365089e-68
"Orcokinin",2.7486207696445e-71,0.277261286981162,0.151,0.129,5.49724153928899e-68
"p23",3.29475491482548e-71,-0.694829771766823,0.253,0.548,6.58950982965095e-68
"Adf1",1.27513889878583e-70,-0.384351899968621,0.177,0.44,2.55027779757167e-67
"CG9650",1.49992514869217e-70,-0.756093503479332,0.151,0.447,2.99985029738434e-67
"heph",2.00370028292831e-70,-1.1895634469562,0.143,0.429,4.00740056585662e-67
"trol",2.60092794647997e-70,-0.166987699918084,0.113,0.374,5.20185589295994e-67
"Nop60B",2.81867347550491e-70,-0.315727453843865,0.167,0.444,5.63734695100983e-67
"SpdS",3.50495893084366e-70,-0.152929964806381,0.146,0.391,7.00991786168731e-67
"Hsp23",3.91159999273466e-70,-1.79203783517454,0.191,0.515,7.82319998546932e-67
"fkh",5.42468772675502e-70,-0.835418534171136,0.21,0.494,1.084937545351e-66
"CG32052",7.58523373932073e-69,-0.288365763386671,0.182,0.433,1.51704674786415e-65
"CG4829",1.45900505689628e-68,-0.178525039521059,0.064,0.33,2.91801011379256e-65
"be",2.52447145070485e-68,-0.139762405258717,0.162,0.424,5.04894290140969e-65
"Vrp1",4.94480259731731e-67,0.109809153363882,0.12,0.367,9.88960519463463e-64
"feo",5.11845700949625e-67,-0.168047963377062,0.231,0.51,1.02369140189925e-63
"E(spl)mbeta-HLH",3.71406773408154e-66,1.9413991890864,0.568,0.549,7.42813546816307e-63
"EndoA",7.63924535163126e-66,-0.455470699954359,0.16,0.444,1.52784907032625e-62
"VepD",5.06390268449258e-65,0.48626900531611,0.196,0.175,1.01278053689852e-61
"Vha44",7.78516770517671e-65,-0.410521430220952,0.185,0.436,1.55703354103534e-61
"Sp1",6.56548640114454e-64,0.13012041379021,0.22,0.478,1.31309728022891e-60
"pelo",1.5057708105586e-63,-0.115722258712788,0.136,0.38,3.01154162111719e-60
"Swip-1",2.07719610618388e-63,-0.454286331788034,0.246,0.494,4.15439221236775e-60
"H",2.12705322737234e-63,-0.186757890794829,0.098,0.356,4.25410645474469e-60
"Ten-a",3.1395024095805e-63,-0.695291740798663,0.457,0.728,6.27900481916099e-60
"Prosalpha6",2.447795959054e-62,-0.24894646904154,0.178,0.437,4.895591918108e-59
"Pura",7.53201213344331e-62,-0.159747518607853,0.18,0.441,1.50640242668866e-58
"hoe1",3.72048026926981e-61,-0.16746580699297,0.251,0.497,7.44096053853962e-58
"Fer2",6.78078966340874e-61,0.1780292785084,0.056,0.315,1.35615793268175e-57
"Myd88",3.5621544093972e-60,0.264910835238426,0.195,0.439,7.1243088187944e-57
"bru1",3.6242661626781e-60,-0.708483985926181,0.17,0.408,7.24853232535621e-57
"kst",4.23173609475702e-59,-0.142656539791015,0.206,0.456,8.46347218951405e-56
"mbl",4.51427317427118e-59,-0.851127458587255,0.313,0.596,9.02854634854236e-56
"snRNA:U12",1.9721995576816e-58,-0.153995603399184,0.138,0.383,3.9443991153632e-55
"CG43795",2.61487461873599e-58,-0.248445368015709,0.138,0.381,5.22974923747198e-55
"klu",3.11038024883151e-58,-0.207128086322754,0.112,0.365,6.22076049766301e-55
"mt:tRNA:Ser-GCT",3.96215058535748e-58,-0.163090224336975,0.373,0.631,7.92430117071496e-55
"svp",4.71370233672089e-58,-0.503065640709054,0.182,0.45,9.42740467344178e-55
"CG3847",8.20263346365769e-58,-0.100509925426284,0.116,0.36,1.64052669273154e-54
"CG10365",1.3295510128981e-57,-0.13187007961659,0.18,0.4,2.6591020257962e-54
"CG42806",2.52665529725415e-57,-0.341053627664363,0.211,0.458,5.05331059450829e-54
"CG43759",2.71229207195971e-57,-0.129119622608049,0.329,0.605,5.42458414391942e-54
"CG6356",3.72534357929977e-57,0.146761613924637,0.158,0.409,7.45068715859953e-54
"sm",5.33611593763227e-57,-0.655997243810507,0.477,0.739,1.06722318752645e-53
"rgn",6.37760979971927e-57,-0.270947783955885,0.152,0.39,1.27552195994385e-53
"CG34155",1.17343243445535e-56,-0.801411028716202,0.161,0.394,2.34686486891071e-53
"Hmx",1.39951722643628e-56,-0.493764887065148,0.228,0.477,2.79903445287256e-53
"D",4.87196464760174e-56,-0.114818237708284,0.201,0.457,9.74392929520347e-53
"CG33977",8.83100347817991e-56,-0.108639945487363,0.149,0.385,1.76620069563598e-52
"Hsp68",2.3280418453544e-55,-0.778328202169405,0.219,0.483,4.6560836907088e-52
"CG2246",3.7245229924191e-55,-0.163265518308659,0.194,0.441,7.44904598483821e-52
"Hex-A",9.15642747359559e-55,-0.451220865813099,0.326,0.577,1.83128549471912e-51
"Dh31",9.92674109757976e-55,0.100057830606411,0.133,0.37,1.98534821951595e-51
