"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Obp99a",0,3.83673879034518,0.851,0.42,0,"0","Obp99a"
"CG43085",0,3.82103612416375,0.577,0.093,0,"0","CG43085"
"CG9686",0,3.40639922983922,0.7,0.129,0,"0","CG9686"
"apolpp",0,3.0588790723884,0.381,0.047,0,"0","apolpp"
"CG31869",0,2.95474386753394,0.451,0.062,0,"0","CG31869"
"hoe1",0,2.71566984430945,0.587,0.168,0,"0","hoe1"
"CG8369",0,2.60986227613147,0.624,0.204,0,"0","CG8369"
"wrapper",0,2.60799434655209,0.417,0.058,0,"0","wrapper"
"Picot",0,2.35262198813278,0.411,0.075,0,"0","Picot"
"Npc2a",0,2.16814445566873,0.549,0.197,0,"0","Npc2a"
"Obp44a",0,2.09542664462356,0.999,0.843,0,"0","Obp44a"
"CG6218",0,2.08748952858039,0.42,0.094,0,"0","CG6218"
"bnb",0,2.08736425006401,0.432,0.106,0,"0","bnb"
"santa-maria",0,1.98691407521142,0.456,0.114,0,"0","santa-maria"
"Fer1HCH",0,1.97969399682289,0.615,0.276,0,"0","Fer1HCH"
"MFS9",0,1.77734675059954,0.612,0.258,0,"0","MFS9"
"Fer2LCH",0,1.56712438823247,0.732,0.514,0,"0","Fer2LCH"
"mnd",0,1.43576717343735,0.655,0.26,0,"0","mnd"
"Acbp2",0,1.41496573045657,0.72,0.313,0,"0","Acbp2"
"fabp",0,1.25288370671552,0.936,0.769,0,"0","fabp"
"dally",0,-1.56066696523745,0.2,0.532,0,"0","dally"
"vir-1",0,-1.93658825863985,0.263,0.576,0,"0","vir-1"
"CG6356",2.79695062262479e-300,2.55227970232812,0.308,0.038,3.5795374068352e-296,"0","CG6356"
"MFS3",2.08451931299633e-289,-2.6502409926751,0.055,0.312,2.6677678167727e-285,"0","MFS3"
"Fas2",2.07957668032884e-275,-1.23857579232094,0.392,0.675,2.66144223548484e-271,"0","Fas2"
"CG31663",7.05531329067698e-273,2.10471026400245,0.284,0.033,9.0293899494084e-269,"0","CG31663"
"zyd",1.11812774319606e-258,1.87513663676228,0.343,0.076,1.43097988574232e-254,"0","zyd"
"CG42613",7.7643809063534e-254,1.70218278412974,0.428,0.149,9.93685468395108e-250,"0","CG42613"
"Csas",7.8801678659709e-253,1.86205167341507,0.327,0.068,1.00850388348696e-248,"0","Csas"
"Oatp74D",5.61311560928294e-246,-2.08068109383253,0.23,0.494,7.18366535676031e-242,"0","Oatp74D"
"AhcyL1",2.37069807386163e-244,-1.98129475010692,0.076,0.318,3.03401939492811e-240,"0","AhcyL1"
"CG10361",3.37083957075209e-243,1.77496171411566,0.363,0.098,4.31400048264852e-239,"0","CG10361"
"Hex-A",1.3133623466401e-241,-1.8138810901981,0.247,0.524,1.68084113123e-237,"0","Hex-A"
"Ace",1.0620272612587e-227,1.65920844001609,0.448,0.181,1.35918248895889e-223,"0","Ace"
"Col4a1",2.64423018534399e-220,-2.07742442979999,0.013,0.191,3.38408579120324e-216,"0","Col4a1"
"SoxN",3.11837732254739e-216,1.58067906499378,0.504,0.254,3.99089929739615e-212,"0","SoxN"
"trol",1.64701703793628e-215,-1.8730370831044,0.02,0.203,2.10785240515085e-211,"0","trol"
"CG15890",3.96728084724673e-203,1.72227334795534,0.325,0.094,5.07732602830637e-199,"0","CG15890"
"CG34417",2.60268475177438e-201,-1.74358277888427,0.239,0.479,3.33091594532085e-197,"0","CG34417"
"CG42235",3.37890610661522e-194,1.9548312846862,0.187,0.012,4.32432403524615e-190,"0","CG42235"
"AdamTS-B",5.07465325495648e-191,-1.95788711903036,0.046,0.233,6.4945412356933e-187,"0","AdamTS-B"
"CG5895",4.03311134097136e-183,1.74286299672666,0.216,0.031,5.16157589417515e-179,"0","CG5895"
"alrm",7.39649299338032e-182,-2.81094649151319,0.086,0.284,9.46603173292814e-178,"0","alrm"
"SPARC",7.05736635676962e-177,-1.68354617042749,0.013,0.161,9.03201746339376e-173,"0","SPARC"
"sgg",1.15522010610239e-175,-1.35530496111973,0.149,0.376,1.47845069178983e-171,"0","sgg"
"CG11425",3.0362531918824e-170,2.0255085926346,0.167,0.011,3.88579683497109e-166,"0","CG11425"
"nrv2",3.09950458180385e-169,1.25178057473018,0.449,0.218,3.96674596379257e-165,"0","nrv2"
"CG13252",2.73056937235749e-165,-1.53065852527173,0.129,0.339,3.49458268274312e-161,"0","CG13252"
"CG6126",1.43296517997437e-163,-1.55397874184419,0.007,0.137,1.8339088373312e-159,"0","CG6126"
"CD98hc",2.6344786505933e-162,1.48014676925186,0.363,0.152,3.37160577702931e-158,"0","CD98hc"
"CG3168",7.42780509705152e-160,-1.74805739226366,0.175,0.379,9.50610496320654e-156,"0","CG3168"
"CG5080",2.03112469619388e-159,-1.98512039651913,0.008,0.139,2.59943338618893e-155,"0","CG5080"
"CAH7",6.32916620572896e-158,0.945917759613308,0.519,0.269,8.10006691009192e-154,"0","CAH7"
"svp",2.29172001078714e-155,-1.40538773877634,0.06,0.236,2.93294326980538e-151,"0","svp"
"CG2991",2.64014041102049e-155,-1.42629575067874,0.065,0.242,3.37885169802403e-151,"0","CG2991"
"nolo",3.27567591076438e-152,1.64004631763546,0.188,0.029,4.19221003059625e-148,"0","nolo"
"CG2852",7.65392714378498e-148,0.796948693875896,0.736,0.601,9.79549595861602e-144,"0","CG2852"
"LanB1",1.02689348785377e-146,-1.32333038647319,0.021,0.159,1.31421828575525e-142,"0","LanB1"
"cv-d",3.18910368170512e-145,-1.28782396323433,0.006,0.123,4.08141489184621e-141,"0","cv-d"
"Ama",3.80539066042988e-145,1.02086716893868,0.391,0.168,4.87013896721816e-141,"0","Ama"
"SP1029",3.41419826948559e-137,-1.60034142969908,0.019,0.146,4.36949094528766e-133,"0","SP1029"
"Dys",4.25095020555534e-136,-1.29641499188539,0.031,0.171,5.44036607306973e-132,"0","Dys"
"CG17032",4.82524509471847e-135,-1.31693526748566,0.005,0.113,6.1753486722207e-131,"0","CG17032"
"CG5955",3.94211579431827e-134,1.17321980168862,0.317,0.123,5.04511979356852e-130,"0","CG5955"
"LanA",4.12619716503362e-133,-1.21285546113419,0.005,0.111,5.28070713181002e-129,"0","LanA"
"for",6.683650892791e-133,-1.40131638442578,0.223,0.416,8.55373641259392e-129,"0","for"
"Atpalpha",2.00374401647021e-132,0.781430208238849,0.677,0.513,2.56439159227858e-128,"0","Atpalpha"
"Idgf6",3.70263367029973e-132,1.50539521482834,0.201,0.046,4.73863057124959e-128,"0","Idgf6"
"Pcyt2",3.30317531181789e-131,-1.45465141017771,0.052,0.202,4.22740376406453e-127,"0","Pcyt2"
"CG10960",1.48927683354342e-130,1.4247490937296,0.194,0.043,1.90597649156887e-126,"0","CG10960"
"CG31706",7.73171013036185e-128,1.3531000621003,0.244,0.075,9.89504262483709e-124,"0","CG31706"
"CG43693",4.05273036330323e-127,-1.41319738188461,0.03,0.162,5.18668431895547e-123,"0","CG43693"
"Slc45-1",5.09610192634492e-124,1.68098718496635,0.155,0.024,6.52199124533623e-120,"0","Slc45-1"
"Cyp4g15",2.05261858348983e-117,1.08589137933497,0.304,0.122,2.62694126315029e-113,"0","Cyp4g15"
"rgn",3.33522160613235e-115,-1.17579384169758,0.055,0.196,4.26841661152818e-111,"0","rgn"
"Bsg",6.5648714498986e-114,-0.890276493985832,0.264,0.461,8.40172248158023e-110,"0","Bsg"
"CG7781",3.74085536522824e-113,1.15642877485056,0.356,0.177,4.78754669641911e-109,"0","CG7781"
"sbm",2.40837190364923e-108,-1.20674895365187,0.022,0.133,3.08223436229029e-104,"0","sbm"
"Msr-110",9.95116975186343e-108,1.2269554857671,0.246,0.089,1.27355070484348e-103,"0","Msr-110"
"FASN1",2.63230423216391e-107,1.31225011305318,0.175,0.043,3.36882295632337e-103,"0","FASN1"
"CG15210",3.50684497688403e-105,1.30276805821591,0.153,0.031,4.48806020141618e-101,"0","CG15210"
"CG46339",3.1663550172223e-104,-1.1398248511029,0.019,0.123,4.0523011510411e-100,"0","CG46339"
"CDase",6.8477522926551e-104,1.26479445462381,0.17,0.042,8.76375338414e-100,"0","CDase"
"Liprin-gamma",2.9130432369992e-103,0.868798067170831,0.515,0.341,3.72811273471158e-99,"0","Liprin-gamma"
"CG1607",4.58615159024083e-103,1.17426637345027,0.151,0.03,5.86935680519021e-99,"0","CG1607"
