"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Trim9",0,1.49918986571889,0.384,0.175,0,"0","Trim9"
"trv",0,1.4622086426718,0.607,0.331,0,"0","trv"
"fz2",0,1.43366075886815,0.825,0.465,0,"0","fz2"
"mspo",0,1.31467755433008,0.495,0.26,0,"0","mspo"
"Alk",0,1.30875485409141,0.497,0.245,0,"0","Alk"
"Toll-6",0,1.29624168378847,0.514,0.282,0,"0","Toll-6"
"cib",0,1.26955110827636,0.973,0.831,0,"0","cib"
"bi",0,1.15653679834539,0.507,0.32,0,"0","bi"
"Fas2",0,1.15149410385035,0.712,0.503,0,"0","Fas2"
"Liprin-gamma",0,1.11905100871844,0.684,0.398,0,"0","Liprin-gamma"
"Toll-7",0,1.10284177223352,0.579,0.379,0,"0","Toll-7"
"Dg",0,1.09386852796591,0.452,0.252,0,"0","Dg"
"Galphao",0,0.996473435778809,0.525,0.333,0,"0","Galphao"
"CG17124",0,0.964480051357853,0.45,0.24,0,"0","CG17124"
"Sap47",0,0.937218245621313,0.602,0.417,0,"0","Sap47"
"Hsp27",0,0.924579449008299,0.937,0.748,0,"0","Hsp27"
"Rbfox1",0,0.913550141380983,0.921,0.749,0,"0","Rbfox1"
"sm",0,0.876864401276035,0.532,0.329,0,"0","sm"
"nAChRalpha6",0,0.863128327668815,0.53,0.313,0,"0","nAChRalpha6"
"Rbp6",0,0.853617154121372,0.625,0.406,0,"0","Rbp6"
"sbb",0,0.82987751014026,0.852,0.717,0,"0","sbb"
"His3.3B",0,0.817098132609165,0.879,0.647,0,"0","His3.3B"
"Imp",0,0.779192452229796,0.834,0.669,0,"0","Imp"
"stai",0,0.731726540006038,0.641,0.425,0,"0","stai"
"Cyp1",0,-0.87878626914172,0.419,0.65,0,"0","Cyp1"
"CG32532",8.26061558926339e-301,1.73911370837199,0.156,0.04,1.05719358311393e-296,"0","CG32532"
"fkh",2.54543488893793e-299,1.58965510059821,0.242,0.093,3.25764757086277e-295,"0","fkh"
"hdc",2.46408806329832e-296,0.383790999522247,0.931,0.82,3.15353990340918e-292,"0","hdc"
"HmgD",3.2793733390738e-286,-0.874651283799596,0.443,0.654,4.19694199934664e-282,"0","HmgD"
"CG12605",1.61594568794626e-283,1.01049186648856,0.365,0.185,2.06808729143363e-279,"0","CG12605"
"CG12991",8.78394832307237e-282,1.08895780699604,0.376,0.203,1.1241697063868e-277,"0","CG12991"
"lncRNA:roX1",5.02307445491277e-274,-0.898728599080925,0.238,0.466,6.42853068739736e-270,"0","lncRNA:roX1"
"tnc",1.44043399839635e-270,1.12358290410308,0.281,0.122,1.84346743114765e-266,"0","tnc"
"E(spl)mgamma-HLH",5.94472608636565e-258,-1.4746624212562,0.096,0.279,7.60806044533075e-254,"0","E(spl)mgamma-HLH"
"elB",5.97213761991584e-257,1.17711787405741,0.341,0.184,7.6431417259683e-253,"0","elB"
"CNBP",3.34009427511266e-251,-0.598006900102227,0.642,0.754,4.27465265328918e-247,"0","CNBP"
"RpL27A",3.37062963080956e-245,-0.539493659738335,0.695,0.818,4.31373180151007e-241,"0","RpL27A"
"fne",8.35745340636319e-241,0.63425342389106,0.638,0.469,1.06958688694636e-236,"0","fne"
"tna",2.30413882415912e-239,0.645645542823618,0.687,0.554,2.94883686715884e-235,"0","tna"
"Pen",4.79057581584366e-238,-1.20554052788325,0.319,0.481,6.13097892911672e-234,"0","Pen"
"Ten-a",8.4766632092573e-238,0.819663438508105,0.509,0.343,1.08484335752075e-233,"0","Ten-a"
"RpL13A",6.41086414995398e-236,-0.548444255420293,0.686,0.807,8.2046239391111e-232,"0","RpL13A"
"CG46301",1.27783426298413e-231,0.974524386281721,0.356,0.194,1.63537228976709e-227,"0","CG46301"
"ab",5.26607819444213e-229,1.18534787425177,0.281,0.137,6.73952687324704e-225,"0","ab"
"pasha",3.61085878331807e-226,1.18628433074535,0.186,0.069,4.62117707089047e-222,"0","pasha"
"N",1.05331232821203e-220,-0.991177540827782,0.051,0.206,1.34802911764576e-216,"0","N"
"DIP1",3.28676486066333e-212,1.00455304411959,0.392,0.253,4.20640166867693e-208,"0","DIP1"
"luna",3.86991396883115e-212,0.893857145016268,0.379,0.222,4.9527158973101e-208,"0","luna"
"Galphai",3.03053832793468e-207,-0.850848896529063,0.163,0.355,3.87848295209081e-203,"0","Galphai"
"CycE",2.40455094460116e-205,-1.16465234804355,0.031,0.164,3.07734429890057e-201,"0","CycE"
"cdi",5.90109426820061e-195,0.617269407616907,0.638,0.525,7.55222044444314e-191,"0","cdi"
"PPP4R2r",1.5976763556448e-192,0.806559403634526,0.488,0.357,2.04470619995421e-188,"0","PPP4R2r"
"Ldh",8.14315988414618e-185,0.739669706039268,0.5,0.361,1.04216160197303e-180,"0","Ldh"
"His2Av",4.11766633220331e-181,-0.819602124741698,0.143,0.317,5.26978937195379e-177,"0","His2Av"
"dally",1.14881965658705e-178,0.837379787917601,0.426,0.288,1.4702593965001e-174,"0","dally"
