"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cngl",0,1.82550507656809,0.857,0.505,0,"atlas_1h_alh","Cngl"
"Drep2",0,1.50937246061264,0.848,0.536,0,"atlas_1h_alh","Drep2"
"CG17124",0,1.50133402173984,0.817,0.498,0,"atlas_1h_alh","CG17124"
"CG30172",0,1.44229506864232,0.81,0.515,0,"atlas_1h_alh","CG30172"
"sif",0,1.39996182366446,0.939,0.708,0,"atlas_1h_alh","sif"
"bel",0,1.33268080113946,0.861,0.569,0,"atlas_1h_alh","bel"
"cype",0,1.06251500635804,0.934,0.792,0,"atlas_1h_alh","cype"
"mt:CoII",0,-1.43984686039663,0.496,0.849,0,"atlas_1h_alh","mt:CoII"
"RpL41",0,-1.59508385523285,0.82,0.989,0,"atlas_1h_alh","RpL41"
"RpL37a",0,-1.98133868727155,0.197,0.669,0,"atlas_1h_alh","RpL37a"
"lncRNA:cherub",0,-4.00105206441214,0.027,0.604,0,"atlas_1h_alh","lncRNA:cherub"
"nrv3",6.81115273375341e-305,-1.01678769799233,0.8,0.955,8.71691326865762e-301,"atlas_1h_alh","nrv3"
"CG6329",5.85282289267053e-304,-1.85952013499587,0.296,0.721,7.49044273803974e-300,"atlas_1h_alh","CG6329"
"RpL37A",8.875171822429e-302,-1.87950542541233,0.225,0.679,1.13584448983446e-297,"atlas_1h_alh","RpL37A"
"mt:CoI",1.39170572348035e-301,-1.33274558929768,0.555,0.866,1.78110498491015e-297,"atlas_1h_alh","mt:CoI"
"mt:ATPase6",9.31436066375168e-300,-1.77779216141976,0.317,0.734,1.19205187774694e-295,"atlas_1h_alh","mt:ATPase6"
"RpL10",6.92209514826129e-298,-1.92505113223158,0.201,0.657,8.8588973707448e-294,"atlas_1h_alh","RpL10"
"CG11000",2.75267811622971e-294,1.91956205764472,0.595,0.232,3.52287745315078e-290,"atlas_1h_alh","CG11000"
"Rdh",1.03801622914623e-293,1.9850671786975,0.538,0.173,1.32845317006134e-289,"atlas_1h_alh","Rdh"
"RpS29",1.39624158496782e-293,-1.53491143559329,0.374,0.774,1.78690998044181e-289,"atlas_1h_alh","RpS29"
"Pde6",1.15385404431015e-287,1.94839029862886,0.563,0.199,1.47670240590813e-283,"atlas_1h_alh","Pde6"
"msi",1.5866000295379e-283,1.41159780972859,0.828,0.558,2.03053071780261e-279,"atlas_1h_alh","msi"
