"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pde6",0,2.08702532389446,0.561,0.155,0,"atlas_1h_alh","Pde6"
"Rdh",0,1.99549064343341,0.537,0.15,0,"atlas_1h_alh","Rdh"
"side",0,1.98695757071626,0.355,0.102,0,"atlas_1h_alh","side"
"CG14312",0,1.96482710150297,0.465,0.116,0,"atlas_1h_alh","CG14312"
"Syn1",0,1.92116411509474,0.44,0.117,0,"atlas_1h_alh","Syn1"
"Tsp66E",0,1.87380872797868,0.61,0.207,0,"atlas_1h_alh","Tsp66E"
"CG42750",0,1.86551293559328,0.39,0.124,0,"atlas_1h_alh","CG42750"
"kek1",0,1.85282612043984,0.477,0.179,0,"atlas_1h_alh","kek1"
"nrm",0,1.84210853877743,0.263,0.068,0,"atlas_1h_alh","nrm"
"CG11000",0,1.83137709598605,0.62,0.243,0,"atlas_1h_alh","CG11000"
"Cngl",0,1.81225493828013,0.848,0.474,0,"atlas_1h_alh","Cngl"
"Eip75B",0,1.73479801594373,0.695,0.301,0,"atlas_1h_alh","Eip75B"
"cdc14",0,1.70364639797415,0.554,0.194,0,"atlas_1h_alh","cdc14"
"Drep2",0,1.69501046822701,0.868,0.468,0,"atlas_1h_alh","Drep2"
"UQCR-11",0,1.66925368464109,0.753,0.343,0,"atlas_1h_alh","UQCR-11"
"dpr13",0,1.6676959594363,0.563,0.282,0,"atlas_1h_alh","dpr13"
"dpr1",0,1.63504121471518,0.438,0.184,0,"atlas_1h_alh","dpr1"
"Sytbeta",0,1.61882037582659,0.252,0.077,0,"atlas_1h_alh","Sytbeta"
"sif",0,1.61399491799931,0.875,0.531,0,"atlas_1h_alh","sif"
"CG30172",0,1.5770852517458,0.849,0.474,0,"atlas_1h_alh","CG30172"
"dlg1",0,1.55058028569132,0.672,0.314,0,"atlas_1h_alh","dlg1"
"Hex-A",0,1.54005132294601,0.991,0.862,0,"atlas_1h_alh","Hex-A"
"crol",0,1.52207308580426,0.503,0.192,0,"atlas_1h_alh","crol"
"Nlg3",0,1.52153540447673,0.362,0.13,0,"atlas_1h_alh","Nlg3"
"HDAC4",0,1.51821989738223,0.419,0.151,0,"atlas_1h_alh","HDAC4"
"Ptp99A",0,1.51567796939087,0.698,0.461,0,"atlas_1h_alh","Ptp99A"
"CG17124",0,1.4836335219384,0.809,0.47,0,"atlas_1h_alh","CG17124"
"CG10543",0,1.47738134199491,0.237,0.061,0,"atlas_1h_alh","CG10543"
"msi",0,1.47055724626073,0.793,0.501,0,"atlas_1h_alh","msi"
"lncRNA:CR43334",0,1.45340104687277,0.234,0.062,0,"atlas_1h_alh","lncRNA:CR43334"
"sdt",0,1.44359172693582,0.605,0.279,0,"atlas_1h_alh","sdt"
"CG42337",0,1.42960937268959,0.305,0.103,0,"atlas_1h_alh","CG42337"
"CG32683",0,1.42581774055896,0.157,0.033,0,"atlas_1h_alh","CG32683"
"bel",0,1.42055500737984,0.882,0.552,0,"atlas_1h_alh","bel"
"luna",0,1.39011352567988,0.652,0.401,0,"atlas_1h_alh","luna"
"mRpS14",0,1.37916693525178,0.274,0.087,0,"atlas_1h_alh","mRpS14"
"ATPsynF",0,1.37056245857668,0.804,0.481,0,"atlas_1h_alh","ATPsynF"
"Eip78C",0,1.36429881692802,0.242,0.078,0,"atlas_1h_alh","Eip78C"
"Pitslre",0,1.35100942774348,0.275,0.096,0,"atlas_1h_alh","Pitslre"
"pcs",0,1.34106093471336,0.367,0.144,0,"atlas_1h_alh","pcs"
"Nlg2",0,1.31558354113654,0.437,0.193,0,"atlas_1h_alh","Nlg2"
"CG1695",0,1.31323524543146,0.247,0.081,0,"atlas_1h_alh","CG1695"
"Bacc",0,1.3117158408924,0.774,0.526,0,"atlas_1h_alh","Bacc"
"CG13364",0,1.30751610937756,0.549,0.265,0,"atlas_1h_alh","CG13364"
"cype",0,1.27506223554024,0.944,0.728,0,"atlas_1h_alh","cype"
"CG44774",0,1.27506080735711,0.317,0.115,0,"atlas_1h_alh","CG44774"
"CG7630",0,1.25016111006107,0.877,0.616,0,"atlas_1h_alh","CG7630"
"Frq1",0,1.24563666536037,0.644,0.39,0,"atlas_1h_alh","Frq1"
"flw",0,1.23926714150067,0.412,0.189,0,"atlas_1h_alh","flw"
"VhaM9.7-a",0,1.2280856639682,0.376,0.162,0,"atlas_1h_alh","VhaM9.7-a"
"Vha14-1",0,1.22174432686161,0.449,0.211,0,"atlas_1h_alh","Vha14-1"
"Rap1",0,1.19670262189066,0.574,0.3,0,"atlas_1h_alh","Rap1"
"CG41128",0,1.18497357166179,0.551,0.282,0,"atlas_1h_alh","CG41128"
"CG42613",0,1.17960023098385,0.776,0.505,0,"atlas_1h_alh","CG42613"
"CG34200",0,1.16950515640656,0.453,0.222,0,"atlas_1h_alh","CG34200"
"COX8",0,1.1682781647034,0.837,0.577,0,"atlas_1h_alh","COX8"
"fs(1)h",0,1.16578379428559,0.623,0.337,0,"atlas_1h_alh","fs(1)h"
"RNASEK",0,1.1643607034185,0.656,0.372,0,"atlas_1h_alh","RNASEK"
"ND-AGGG",0,1.16420929814396,0.361,0.165,0,"atlas_1h_alh","ND-AGGG"
"Dhit",0,1.12334706038965,0.831,0.569,0,"atlas_1h_alh","Dhit"
"CG6770",0,1.11427675443733,0.538,0.31,0,"atlas_1h_alh","CG6770"
"nAChRalpha6",0,1.08891457078597,0.949,0.794,0,"atlas_1h_alh","nAChRalpha6"
"Syx1A",0,1.07639934070791,0.852,0.61,0,"atlas_1h_alh","Syx1A"
"Dsp1",0,1.07528829874785,0.816,0.55,0,"atlas_1h_alh","Dsp1"
"Ten-a",0,1.06282242905272,0.732,0.542,0,"atlas_1h_alh","Ten-a"
"pum",0,1.05003998857249,0.622,0.4,0,"atlas_1h_alh","pum"
"gro",0,1.04995277564201,0.5,0.266,0,"atlas_1h_alh","gro"
"levy",0,1.04059858746943,0.691,0.44,0,"atlas_1h_alh","levy"
"ND-MWFE",0,1.0266211373211,0.627,0.386,0,"atlas_1h_alh","ND-MWFE"
"ATPsynE",0,1.01084154329177,0.542,0.31,0,"atlas_1h_alh","ATPsynE"
"ox",0,1.00261487024861,0.816,0.614,0,"atlas_1h_alh","ox"
"Pits",0,0.996699337965109,0.676,0.443,0,"atlas_1h_alh","Pits"
"ND-MLRQ",0,0.974288102158358,0.606,0.365,0,"atlas_1h_alh","ND-MLRQ"
"Bsg",0,0.968624752884792,0.744,0.499,0,"atlas_1h_alh","Bsg"
"COX5A",0,0.949162303822868,0.587,0.378,0,"atlas_1h_alh","COX5A"
"ATPsynG",0,0.941752508714248,0.664,0.433,0,"atlas_1h_alh","ATPsynG"
"Oda",0,0.937524355002738,0.561,0.343,0,"atlas_1h_alh","Oda"
"UQCR-Q",0,0.920091657321001,0.731,0.51,0,"atlas_1h_alh","UQCR-Q"
"His4r",0,0.881446588735493,0.818,0.614,0,"atlas_1h_alh","His4r"
"UQCR-6.4",0,0.87560201369778,0.798,0.606,0,"atlas_1h_alh","UQCR-6.4"
"Neb-cGP",0,0.847501049083432,0.726,0.518,0,"atlas_1h_alh","Neb-cGP"
"Rdl",0,0.818417559382852,0.869,0.695,0,"atlas_1h_alh","Rdl"
"para",0,0.72427600324511,0.791,0.618,0,"atlas_1h_alh","para"
"Liprin-gamma",0,0.674686857786055,0.897,0.764,0,"atlas_1h_alh","Liprin-gamma"
"Galphao",0,-0.711204521489323,0.672,0.815,0,"atlas_1h_alh","Galphao"
"RpLP2",0,-0.713142412488755,0.515,0.743,0,"atlas_1h_alh","RpLP2"
"RpS26",0,-0.784847642947045,0.46,0.695,0,"atlas_1h_alh","RpS26"
"mt:lrRNA",0,-0.787000747055096,0.716,0.858,0,"atlas_1h_alh","mt:lrRNA"
"alphaTub84B",0,-0.828512764969375,0.427,0.72,0,"atlas_1h_alh","alphaTub84B"
"RpL28",0,-0.828959655202242,0.447,0.673,0,"atlas_1h_alh","RpL28"
"RpS15",0,-0.841772632041591,0.49,0.721,0,"atlas_1h_alh","RpS15"
"RpLP1",0,-0.845970742429633,0.54,0.799,0,"atlas_1h_alh","RpLP1"
"RpL36",0,-0.865814571036029,0.548,0.751,0,"atlas_1h_alh","RpL36"
"RpL36A",0,-0.873284410413955,0.456,0.664,0,"atlas_1h_alh","RpL36A"
"RpS7",0,-0.882230266411746,0.397,0.656,0,"atlas_1h_alh","RpS7"
"RpS29",0,-0.885334366933814,0.534,0.776,0,"atlas_1h_alh","RpS29"
"mt:Cyt-b",0,-0.941762563881196,0.443,0.666,0,"atlas_1h_alh","mt:Cyt-b"
"betaTub56D",0,-0.96475947885139,0.759,0.932,0,"atlas_1h_alh","betaTub56D"
"RpL12",0,-0.974933622017455,0.332,0.577,0,"atlas_1h_alh","RpL12"
"RpL27",0,-0.990943504303462,0.366,0.603,0,"atlas_1h_alh","RpL27"
"RpL26",0,-1.00814066165908,0.373,0.633,0,"atlas_1h_alh","RpL26"
"RpL19",0,-1.00946742079007,0.37,0.625,0,"atlas_1h_alh","RpL19"
"RpL21",0,-1.02766621878298,0.331,0.588,0,"atlas_1h_alh","RpL21"
"RpS9",0,-1.03284574255698,0.321,0.581,0,"atlas_1h_alh","RpS9"
"RpS8",0,-1.03676046795146,0.34,0.619,0,"atlas_1h_alh","RpS8"
"Obp44a",0,-1.03814632315854,0.448,0.696,0,"atlas_1h_alh","Obp44a"
"RpS17",0,-1.04713428553887,0.374,0.612,0,"atlas_1h_alh","RpS17"
"Msp300",0,-1.08895870357505,0.365,0.582,0,"atlas_1h_alh","Msp300"
"RpS27A",0,-1.10787799661438,0.405,0.695,0,"atlas_1h_alh","RpS27A"
"RpL37a",0,-1.14441282346689,0.38,0.689,0,"atlas_1h_alh","RpL37a"
