"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG32052",0,1.56573742847459,0.395,0.174,0,"0","CG32052"
"disco-r",0,1.50536556025684,0.187,0.067,0,"0","disco-r"
"CG31221",0,1.44932971450615,0.806,0.522,0,"0","CG31221"
"Ldh",0,1.12969828130417,0.953,0.78,0,"0","Ldh"
"CG30116",0,1.09295398858996,0.38,0.192,0,"0","CG30116"
"heph",0,1.07104405358369,0.409,0.239,0,"0","heph"
"Ace",0,1.05972265541228,0.389,0.207,0,"0","Ace"
"jeb",0,0.958329346977203,0.777,0.584,0,"0","jeb"
"trv",0,0.944497576207797,0.784,0.63,0,"0","trv"
"Hsp26",0,0.940710545217251,0.445,0.251,0,"0","Hsp26"
"CG13954",0,0.839091395873905,0.492,0.319,0,"0","CG13954"
"dpr9",0,0.81434501183043,0.598,0.424,0,"0","dpr9"
"dpr14",0,0.80753619706288,0.537,0.354,0,"0","dpr14"
"Galphao",0,0.652950108783293,0.83,0.674,0,"0","Galphao"
"His3.3B",0,0.64244415998681,0.751,0.527,0,"0","His3.3B"
"Alk",0,0.628524526386228,0.799,0.643,0,"0","Alk"
"pAbp",0,0.574600964522524,0.959,0.839,0,"0","pAbp"
"Bacc",0,-0.8466785765246,0.535,0.671,0,"0","Bacc"
"cpx",0,-0.93913825141112,0.432,0.624,0,"0","cpx"
"Gapdh1",0,-1.00701769012425,0.497,0.627,0,"0","Gapdh1"
"Gapdh2",0,-1.07759086487631,0.577,0.691,0,"0","Gapdh2"
"Pglym78",0,-1.16497483305709,0.389,0.55,0,"0","Pglym78"
"Tpi",0,-1.25391717298297,0.391,0.553,0,"0","Tpi"
"CG14989",0,-1.91736810407077,0.23,0.431,0,"0","CG14989"
"Toll-7",8.48715336343949e-307,0.79626862768125,0.5,0.325,1.08618588745299e-302,"0","Toll-7"
"Cbp53E",3.29394300578899e-302,0.761119498315542,0.704,0.548,4.21558825880875e-298,"0","Cbp53E"
"kcc",2.11988049331643e-291,0.808706799671909,0.422,0.261,2.71302305534637e-287,"0","kcc"
"fz2",5.21626471964258e-284,0.54292809149177,0.778,0.651,6.67577558819857e-280,"0","fz2"
"IA-2",2.96579930588211e-282,0.512541220672765,0.827,0.711,3.79562995166792e-278,"0","IA-2"
"Rbfox1",2.8479112029994e-264,0.44040105036969,0.837,0.729,3.64475675759863e-260,"0","Rbfox1"
"CG42394",7.93331112396091e-253,-1.4513517574752,0.062,0.198,1.01530515764452e-248,"0","CG42394"
"beat-IIa",1.0326734887851e-250,0.836214301832851,0.513,0.367,1.32161553094717e-246,"0","beat-IIa"
"Liprin-gamma",1.12551677006598e-249,0.421148470140651,0.823,0.711,1.44043636233044e-245,"0","Liprin-gamma"
"CG11319",7.80103437464387e-244,0.876654588912841,0.329,0.189,9.98376379266923e-240,"0","CG11319"
"Lcch3",5.64692379675878e-232,0.75367456883592,0.357,0.216,7.22693307509188e-228,"0","Lcch3"
"DIP1",1.55080326354555e-230,0.699135258078928,0.411,0.264,1.98471801668559e-226,"0","DIP1"
"Rbp6",8.41324540601462e-230,0.415304019082234,0.861,0.759,1.07672714706175e-225,"0","Rbp6"
"Hsc70Cb",1.50158765274454e-223,0.633302575164549,0.477,0.328,1.92173187798246e-219,"0","Hsc70Cb"
"Cyp1",1.46365185146888e-220,-0.628291520427912,0.449,0.587,1.87318163950987e-216,"0","Cyp1"
"pasha",7.18740405702191e-217,0.795028369214037,0.266,0.144,9.19843971217664e-213,"0","pasha"
"VGlut",2.50434770884364e-216,-1.47239542941141,0.024,0.125,3.20506419777809e-212,"0","VGlut"
"Hsp27",2.03815929979355e-211,0.466518370878307,0.569,0.401,2.60843627187578e-207,"0","Hsp27"
"CASK",8.72663674871925e-205,0.502287747283332,0.641,0.523,1.11683497110109e-200,"0","CASK"
"CG12991",3.04614656745878e-204,0.563715819054037,0.531,0.397,3.89845837703374e-200,"0","CG12991"
"cpo",8.90146784124687e-203,0.80871721961402,0.552,0.43,1.13920985432277e-198,"0","cpo"
"HmgD",4.75001677186344e-202,-0.813791632787837,0.241,0.393,6.07907146463083e-198,"0","HmgD"
"RpL13A",1.2126873134533e-197,-0.518922253010741,0.518,0.647,1.55199722375753e-193,"0","RpL13A"
"Trim9",1.92572337494567e-197,0.753091667386574,0.343,0.214,2.46454077525547e-193,"0","Trim9"
