"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"atilla",3.12498063769078e-146,3.35344092667048,0.571,0.036,3.99935022011667e-142,"atlas_1h_alh","atilla"
"Cys",3.23167551937913e-143,5.07710823722079,0.849,0.107,4.13589832970141e-139,"atlas_1h_alh","Cys"
"prc",3.11327744607562e-137,3.21446554000651,0.521,0.031,3.98437247548758e-133,"atlas_1h_alh","prc"
"CG12355",1.19773674652306e-136,3.11281258774412,0.58,0.041,1.53286348820021e-132,"atlas_1h_alh","CG12355"
"Vha36-3",1.17276543640848e-129,2.78013249126291,0.37,0.013,1.50090520551557e-125,"atlas_1h_alh","Vha36-3"
"lncRNA:CR43432",5.99817049788639e-111,1.79778948870518,0.16,0,7.67645860319501e-107,"atlas_1h_alh","lncRNA:CR43432"
"CG18417",1.06638384200141e-82,3.4184493268968,0.261,0.011,1.3647580409934e-78,"atlas_1h_alh","CG18417"
"Cyt-c-p",4.19379881933824e-72,2.73969915431556,0.664,0.121,5.36722372898908e-68,"atlas_1h_alh","Cyt-c-p"
"hoip",2.05753633906816e-64,2.19666627982918,0.672,0.128,2.63323500673943e-60,"atlas_1h_alh","hoip"
"ATPsynF",8.29380084716358e-61,2.37555933893351,0.941,0.557,1.06144063241999e-56,"atlas_1h_alh","ATPsynF"
"CG15203",3.22079780511528e-60,2.80748763548828,0.681,0.14,4.12197703098653e-56,"atlas_1h_alh","CG15203"
"cype",1.53210164532645e-58,2.16310352686887,1,0.74,1.96078368568879e-54,"atlas_1h_alh","cype"
"Ac78C",2.09428023754268e-58,2.08892053096198,0.538,0.085,2.68025984800712e-54,"atlas_1h_alh","Ac78C"
"CG7630",1.03387889506964e-57,2.39690610367592,0.966,0.62,1.32315820991012e-53,"atlas_1h_alh","CG7630"
"cib",1.64972262206023e-56,-5.38035314277671,0.042,0.859,2.11131501171268e-52,"atlas_1h_alh","cib"
"ND-B15",1.75159027877499e-55,1.9874209184647,0.714,0.163,2.24168523877623e-51,"atlas_1h_alh","ND-B15"
"lncRNA:CR46488",4.48917356296013e-55,1.01028629307788,0.101,0.001,5.74524432587638e-51,"atlas_1h_alh","lncRNA:CR46488"
"CG7637",2.49245482154499e-54,2.21259957962863,0.782,0.227,3.18984368061328e-50,"atlas_1h_alh","CG7637"
"ND-13A",2.22502984569616e-53,1.95927701732441,0.571,0.104,2.84759319652195e-49,"atlas_1h_alh","ND-13A"
"l(2)01289",2.06707312663475e-52,1.13206286731951,0.16,0.006,2.64544018746716e-48,"atlas_1h_alh","l(2)01289"
"COX8",3.12574778718826e-52,1.99105331232311,0.958,0.634,4.00033201804353e-48,"atlas_1h_alh","COX8"
"UQCR-6.4",3.65577744344749e-52,2.04775066164566,0.966,0.582,4.6786639721241e-48,"atlas_1h_alh","UQCR-6.4"
"betaTub56D",4.94095168824145e-52,-2.45353818326849,0.571,0.944,6.3234299706114e-48,"atlas_1h_alh","betaTub56D"
"UQCR-11",6.24300629853146e-52,2.13042809068313,0.882,0.36,7.98979946086056e-48,"atlas_1h_alh","UQCR-11"
"CG5254",8.39793070240968e-52,1.77759271024656,0.252,0.02,1.07476717129439e-47,"atlas_1h_alh","CG5254"
"levy",1.87474650160959e-51,1.91874415153283,0.933,0.46,2.39930057275995e-47,"atlas_1h_alh","levy"
"ATPsynE",2.1937012135774e-51,2.06714002959983,0.908,0.407,2.80749881313635e-47,"atlas_1h_alh","ATPsynE"
"Hex-A",2.59765685876147e-51,2.72319625921358,0.975,0.628,3.32448124784293e-47,"atlas_1h_alh","Hex-A"
"Vha14-1",4.36235487896882e-51,2.20055096803559,0.756,0.223,5.58294177410429e-47,"atlas_1h_alh","Vha14-1"
"ND-MLRQ",5.31309759792858e-51,2.10764885730855,0.899,0.408,6.799702305829e-47,"atlas_1h_alh","ND-MLRQ"
"lncRNA:cherub",8.35464023965148e-51,-4.97862903169935,0.034,0.821,1.0692268578706e-46,"atlas_1h_alh","lncRNA:cherub"
"ND-B14.5A",1.13541561462685e-50,2.17349854663367,0.664,0.16,1.45310490359945e-46,"atlas_1h_alh","ND-B14.5A"
"sun",1.50482985444535e-50,2.00979104875988,0.908,0.417,1.92588124771916e-46,"atlas_1h_alh","sun"
"SdhC",2.24373227074884e-49,1.79139679927377,0.664,0.154,2.87152856010437e-45,"atlas_1h_alh","SdhC"
"CG11791",3.30488884523697e-49,2.24536892484548,0.529,0.103,4.22959674413427e-45,"atlas_1h_alh","CG11791"
"VhaM9.7-b",3.43941677476003e-49,2.107450108837,0.689,0.176,4.40176558833789e-45,"atlas_1h_alh","VhaM9.7-b"
"ox",1.81765693776549e-48,1.95832925719509,0.958,0.644,2.32623734895228e-44,"atlas_1h_alh","ox"
"ATPsynG",5.57963181463991e-48,1.838498833939,0.933,0.532,7.14081279637616e-44,"atlas_1h_alh","ATPsynG"
"betaggt-II",6.57137498643168e-48,2.03848705761607,0.563,0.116,8.41004570763526e-44,"atlas_1h_alh","betaggt-II"
"Vha13",7.40944004933325e-48,2.08174596753027,0.857,0.341,9.48260137513669e-44,"atlas_1h_alh","Vha13"
"COX5B",7.50694884898729e-48,1.98504721303529,0.866,0.37,9.60739313693393e-44,"atlas_1h_alh","COX5B"
"CG13907",1.16268483489118e-47,1.95977292052911,0.58,0.12,1.48800405169373e-43,"atlas_1h_alh","CG13907"
"mRpS14",1.28894023115655e-47,2.14691806000521,0.513,0.097,1.64958570783415e-43,"atlas_1h_alh","mRpS14"
"SP1029",3.19672106223415e-47,2.15982538706,0.605,0.134,4.09116361544726e-43,"atlas_1h_alh","SP1029"
"RNASEK",6.11329422114557e-47,2.09072415400234,0.891,0.417,7.8237939442221e-43,"atlas_1h_alh","RNASEK"
"ND-AGGG",1.14860059191057e-46,1.9111318157216,0.706,0.187,1.46997903752714e-42,"atlas_1h_alh","ND-AGGG"
"ATPsynCF6",3.70945129425126e-46,1.88578861403127,0.874,0.365,4.74735576638277e-42,"atlas_1h_alh","ATPsynCF6"
"roh",3.95261911783632e-44,1.76907490663282,0.933,0.55,5.05856194700692e-40,"atlas_1h_alh","roh"
"CG34200",7.95050759923874e-43,1.93921249790306,0.807,0.279,1.01750596255057e-38,"atlas_1h_alh","CG34200"
"UQCR-Q",1.57127083286886e-42,1.88341319140489,0.899,0.574,2.01091241190557e-38,"atlas_1h_alh","UQCR-Q"
"Neb-cGP",5.03927682087589e-41,1.8725662113308,0.933,0.556,6.44926647535697e-37,"atlas_1h_alh","Neb-cGP"
"Hsp27",1.65637282782293e-39,-4.71639950253692,0,0.696,2.11982594504778e-35,"atlas_1h_alh","Hsp27"
"Act5C",2.79179419586905e-39,-2.96773599489141,0.202,0.784,3.57293821187321e-35,"atlas_1h_alh","Act5C"
"fabp",3.41562539106938e-39,-4.03170574428602,0.084,0.744,4.37131737549059e-35,"atlas_1h_alh","fabp"
"CG2846",3.54645644502507e-38,1.79227293576004,0.345,0.052,4.53875495834309e-34,"atlas_1h_alh","CG2846"
"COX7A",3.75737969550448e-38,1.65805900580314,0.857,0.424,4.80869453430664e-34,"atlas_1h_alh","COX7A"
"mRpL42",5.65644086003688e-38,1.69336360908124,0.42,0.076,7.2391130126752e-34,"atlas_1h_alh","mRpL42"
"CG31710",2.83769979601359e-37,1.48584645008123,0.193,0.016,3.63168819893819e-33,"atlas_1h_alh","CG31710"
"ND-MWFE",3.26566189624758e-37,1.77995574514908,0.891,0.46,4.17939409481765e-33,"atlas_1h_alh","ND-MWFE"
"COX5A",4.99738486455491e-37,1.77259156460736,0.849,0.455,6.39565314965738e-33,"atlas_1h_alh","COX5A"
"ND-B14.7",5.00293092827806e-37,1.66899197403295,0.42,0.078,6.40275100201027e-33,"atlas_1h_alh","ND-B14.7"
"CG31200",1.12937180586839e-35,1.00481582116214,0.134,0.008,1.44537003715037e-31,"atlas_1h_alh","CG31200"
