"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"atilla",6.12942619287969e-58,3.31013487032673,0.821,0.158,7.84443964164743e-54,"atlas_1h_alh","atilla"
"CG13284",3.77754677965488e-47,3.640777194393,0.5,0.023,4.83450436860232e-43,"atlas_1h_alh","CG13284"
"betaTub56D",1.2190481390644e-46,-2.35297890808409,0.514,0.966,1.56013780837462e-42,"atlas_1h_alh","betaTub56D"
"Cys",7.10834069961625e-46,2.91041687173764,0.936,0.513,9.09725442736888e-42,"atlas_1h_alh","Cys"
"CG7630",1.85799046552174e-43,1.90235930436978,0.95,0.659,2.37785619777472e-39,"atlas_1h_alh","CG7630"
"cype",9.13614403649196e-41,1.60851588487463,0.964,0.769,1.16924371379024e-36,"atlas_1h_alh","cype"
"lncRNA:cherub",1.08676657254067e-40,-4.95776419200378,0.014,0.73,1.39084385953755e-36,"atlas_1h_alh","lncRNA:cherub"
"cib",2.85583872517377e-40,-4.35095752489223,0.093,0.753,3.65490240047739e-36,"atlas_1h_alh","cib"
"ELOVL",1.51088606673593e-39,3.11670445338411,0.65,0.133,1.93363198820864e-35,"atlas_1h_alh","ELOVL"
"CG12355",2.77232307863825e-37,2.86823420638419,0.593,0.11,3.54801907604124e-33,"atlas_1h_alh","CG12355"
"UQCR-6.4",7.31761799896373e-37,1.7943704167184,0.9,0.613,9.36508751507378e-33,"atlas_1h_alh","UQCR-6.4"
"ATPsynF",2.48141192982587e-35,1.85643659732355,0.893,0.627,3.17571098779115e-31,"atlas_1h_alh","ATPsynF"
"UQCR-Q",2.59956746185165e-32,1.69025378188943,0.9,0.586,3.32692643767774e-28,"atlas_1h_alh","UQCR-Q"
"CG7637",4.23720132006319e-32,2.30044595726014,0.636,0.162,5.42277024941687e-28,"atlas_1h_alh","CG7637"
"ox",1.80210190556045e-28,1.66485332261178,0.871,0.625,2.30633001873627e-24,"atlas_1h_alh","ox"
"mt:CoI",4.25401845594313e-28,-1.67047653030937,0.621,0.899,5.44429281991602e-24,"atlas_1h_alh","mt:CoI"
"Swim",4.69075625980155e-27,-3.22013280291642,0.079,0.613,6.00322986129402e-23,"atlas_1h_alh","Swim"
"eEF1alpha1",7.22032863026215e-27,-1.54991470957498,0.664,0.911,9.24057658100949e-23,"atlas_1h_alh","eEF1alpha1"
"ATPsynE",1.63575527741315e-26,1.60047576612868,0.814,0.471,2.09343960403335e-22,"atlas_1h_alh","ATPsynE"
"UQCR-11",3.88296653530684e-26,1.71893648505263,0.779,0.38,4.96942057188569e-22,"atlas_1h_alh","UQCR-11"
"ND-MWFE",4.52355637408752e-26,1.72649478788539,0.814,0.485,5.78924744755721e-22,"atlas_1h_alh","ND-MWFE"
"COX8",4.80827004441433e-25,1.69464918578783,0.843,0.632,6.15362400284146e-21,"atlas_1h_alh","COX8"
"Act5C",5.14470783672871e-25,-1.90380105468839,0.421,0.799,6.58419708944541e-21,"atlas_1h_alh","Act5C"
"Cyt-c-p",5.8692508521461e-25,1.84524047948109,0.6,0.174,7.51146724057658e-21,"atlas_1h_alh","Cyt-c-p"
"Pglym78",2.37835912530283e-24,1.84631649608334,0.793,0.467,3.04382400856256e-20,"atlas_1h_alh","Pglym78"
"COX5A",1.40073818179698e-23,1.43200178958938,0.836,0.529,1.79266472506377e-19,"atlas_1h_alh","COX5A"
"sun",4.32625966923568e-23,1.57830140358804,0.779,0.46,5.53674712468782e-19,"atlas_1h_alh","sun"
"CG6218",4.86676048665307e-23,2.00333141719484,0.679,0.275,6.2284800708186e-19,"atlas_1h_alh","CG6218"
"mt:lrRNA",8.33237655127196e-23,-1.51055952998749,0.571,0.929,1.06637755103178e-18,"atlas_1h_alh","mt:lrRNA"
"Oatp74D",1.32705689084682e-22,-3.06276941844656,0.257,0.666,1.69836740890576e-18,"atlas_1h_alh","Oatp74D"
"Hsp27",1.53540515093658e-22,-3.57449854931657,0.057,0.526,1.96501151216864e-18,"atlas_1h_alh","Hsp27"
"UQCR-14",2.22447007722375e-22,1.30435689430062,0.85,0.535,2.84687680483095e-18,"atlas_1h_alh","UQCR-14"
"COX7A",2.30217897451131e-22,1.43857888546083,0.807,0.492,2.94632865157958e-18,"atlas_1h_alh","COX7A"
"CG5254",4.37924337495501e-22,2.18161689709198,0.371,0.059,5.60455567126742e-18,"atlas_1h_alh","CG5254"
"ATPsynO",5.87231149864848e-22,1.61069299862465,0.764,0.423,7.51538425597033e-18,"atlas_1h_alh","ATPsynO"
