"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ldh",9.71523803946725e-27,1.54274775899618,0.831,0.293,1.24335616429102e-22,"atlas_24h_alh","Ldh"
"sgg",2.45226569394275e-17,1.11909065962347,0.8,0.414,3.13840963510793e-13,"atlas_24h_alh","sgg"
"chinmo",1.61998947905557e-13,0.75719279056072,0.788,0.407,2.07326253529532e-09,"atlas_24h_alh","chinmo"
"mt:tRNA:Arg-TCG",1.65356314991508e-12,1.0164344823074,0.7,0.321,2.11623011926132e-08,"atlas_24h_alh","mt:tRNA:Arg-TCG"
"fru",3.84474331234958e-11,0.5759030933324,0.975,0.807,4.92050249114499e-07,"atlas_24h_alh","fru"
"His3.3B",1.16090830583434e-10,0.546464526255189,0.992,0.864,1.48573044980679e-06,"atlas_24h_alh","His3.3B"
"lncRNA:roX2",2.83253306628041e-10,-1.78766701374997,0.111,0.314,3.62507581822567e-06,"atlas_24h_alh","lncRNA:roX2"
"Fas2",1.34918654488232e-09,0.9702004592587,0.944,0.757,1.72668894014039e-05,"atlas_24h_alh","Fas2"
"SP1173",1.78670665483398e-09,0.737368432449502,0.648,0.321,2.28662717685653e-05,"atlas_24h_alh","SP1173"
"Rbp6",1.91176721153382e-09,0.533864371419563,0.562,0.221,2.44667967732098e-05,"atlas_24h_alh","Rbp6"
"mspo",4.75275717874483e-09,0.677064767634595,0.432,0.143,6.08257863735764e-05,"atlas_24h_alh","mspo"
"hoe1",7.38624088742383e-09,0.884588023223928,0.27,0.036,9.45291108772501e-05,"atlas_24h_alh","hoe1"
"Liprin-gamma",1.06844703664315e-08,0.50680020007271,0.58,0.257,0.00013673985174959,"atlas_24h_alh","Liprin-gamma"
"trv",1.11228430371283e-08,0.707346151368376,0.541,0.236,0.000142350145189168,"atlas_24h_alh","trv"
"Hrb87F",1.77674340417896e-08,0.529025362052264,0.907,0.736,0.000227387620866823,"atlas_24h_alh","Hrb87F"
"Drat",2.59801720590225e-08,0.694911746912923,0.879,0.657,0.000332494242011369,"atlas_24h_alh","Drat"
"bun",3.0063017565186e-08,0.509195086702114,0.947,0.771,0.00038474649879925,"atlas_24h_alh","bun"
"CG31221",6.23630869981051e-08,0.764527704153865,0.438,0.171,0.000798122787401749,"atlas_24h_alh","CG31221"
"Toll-6",6.75677153267925e-08,0.773898629782717,0.383,0.129,0.00086473162075229,"atlas_24h_alh","Toll-6"
"MtnA",9.85139043571381e-08,0.532708142595354,0.706,0.436,0.00126078094796265,"atlas_24h_alh","MtnA"
"DIP1",1.02930585688181e-07,0.585661415633225,0.724,0.436,0.00131730563563734,"atlas_24h_alh","DIP1"
"lncRNA:cherub",1.31414348688607e-07,0.582091823192128,0.986,0.843,0.00168184083451679,"atlas_24h_alh","lncRNA:cherub"
"MTA1-like",1.80652404135316e-07,0.568786855601929,0.576,0.286,0.00231198946812378,"atlas_24h_alh","MTA1-like"
"Dhit",1.9781139544687e-07,0.522628508789114,0.307,0.079,0.00253159023892905,"atlas_24h_alh","Dhit"
"Vha55",2.83560165357838e-07,0.63596470037561,0.467,0.2,0.00362900299624962,"atlas_24h_alh","Vha55"
"fz2",3.08654249560512e-07,0.297202482240796,0.65,0.357,0.00395015708587543,"atlas_24h_alh","fz2"
"tun",3.13231008440943e-07,0.525351438450382,0.5,0.214,0.00400873044602718,"atlas_24h_alh","tun"
"Cbp53E",3.40928236353094e-07,0.684834007525376,0.331,0.1,0.0043631995688469,"atlas_24h_alh","Cbp53E"
"AMPdeam",4.21201988364176e-07,0.471562012798707,0.767,0.479,0.00539054304708473,"atlas_24h_alh","AMPdeam"
"CG13954",4.80000457775906e-07,0.546966851608007,0.486,0.221,0.00614304585861604,"atlas_24h_alh","CG13954"
"CG42806",5.17814656488894e-07,0.545849649957349,0.782,0.557,0.00662699197374486,"atlas_24h_alh","CG42806"
"Oatp74D",5.27657862410164e-07,0.579759438499676,0.788,0.55,0.00675296532312528,"atlas_24h_alh","Oatp74D"
"path",8.1453985610294e-07,0.582599037408491,0.846,0.664,0.0104244810784054,"atlas_24h_alh","path"
