"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pen",0,2.4904729865947,0.82,0.317,0
"edl",1.66401709757204e-259,2.43851191677101,0.694,0.248,3.32803419514409e-256
"Galphai",1.62222626741437e-239,1.9957074952487,0.761,0.309,3.24445253482874e-236
"hdc",2.47980350172427e-193,-1.17471313977582,0.812,0.906,4.95960700344853e-190
"fax",3.45394835639605e-193,-1.03804309013547,0.896,0.968,6.9078967127921e-190
"Liprin-gamma",6.93046904664332e-190,-1.84299345342436,0.516,0.757,1.38609380932866e-186
"grh",1.91385142499938e-174,2.88219200874687,0.57,0.208,3.82770284999875e-171
"SoxN",3.13585820550547e-167,1.4281485128399,0.732,0.332,6.27171641101094e-164
"betaTub56D",9.11362515469227e-133,0.764625603650375,0.971,0.809,1.82272503093845e-129
"feo",2.87510737164469e-127,1.4411749475297,0.565,0.231,5.75021474328938e-124
"CNBP",4.32974117035376e-119,0.845692394852266,0.897,0.615,8.65948234070753e-116
"lncRNA:CR45388",2.16699007015292e-112,1.39487459134953,0.887,0.643,4.33398014030584e-109
"E(spl)m6-BFM",3.45962276169814e-109,-2.60968079789378,0.321,0.506,6.91924552339629e-106
"E(spl)mgamma-HLH",4.01236150810274e-108,2.26604934765951,0.498,0.224,8.02472301620548e-105
"fru",2.36048347392222e-102,1.40601402373269,0.436,0.193,4.72096694784445e-99
"lncRNA:CR43334",8.16517291932832e-100,1.18891963733723,0.328,0.084,1.63303458386566e-96
"lncRNA:CR40469",4.95033030393561e-99,0.803803859746004,0.88,0.597,9.90066060787122e-96
"CG2116",8.01380178661574e-94,0.145179395034617,0.254,0.053,1.60276035732315e-90
"lncRNA:cherub",4.68205031163608e-92,0.913684344793804,0.97,0.951,9.36410062327216e-89
"robo2",2.24486535996276e-90,-2.10570641348401,0.275,0.472,4.48973071992552e-87
"Hsp26",3.6133104172905e-80,1.28417077357196,0.686,0.413,7.22662083458101e-77
"betaTub60D",7.02083223434145e-78,0.108116384563801,0.253,0.068,1.40416644686829e-74
"Sp1",2.36230507625518e-77,1.27875909590743,0.455,0.22,4.72461015251037e-74
"pbl",5.34232800876787e-77,1.43918962476518,0.406,0.183,1.06846560175357e-73
"HnRNP-K",1.63231213048936e-75,0.838376179320137,0.436,0.206,3.26462426097872e-72
"fne",1.89107725412489e-75,-1.34207080354061,0.545,0.661,3.78215450824977e-72
"baz",2.55887598423975e-75,1.22008158633169,0.471,0.233,5.11775196847951e-72
"lncRNA:CR30009",3.89515177406665e-75,1.67986896404311,0.447,0.208,7.79030354813329e-72
"ND-24",2.12894805494749e-74,0.201828139548901,0.258,0.06,4.25789610989499e-71
"E(spl)m8-HLH",2.81082527353947e-74,0.833415724959565,0.703,0.434,5.62165054707894e-71
"stg",1.71326749345062e-73,0.773220756957727,0.799,0.561,3.42653498690124e-70
"for",5.6258480311955e-71,0.464683150949165,0.304,0.122,1.1251696062391e-67
"Hsc70Cb",1.1757860213259e-70,0.748169696371208,0.695,0.417,2.3515720426518e-67
"CG13305",1.55349439738224e-70,0.861064365979943,0.293,0.089,3.10698879476449e-67
"lncRNA:CR46003",3.19674969004045e-70,1.44034643170304,0.378,0.162,6.3934993800809e-67
"CG42540",1.09260927184767e-69,-0.189955788068083,0.251,0.078,2.18521854369533e-66
"26-29-p",1.78979445765817e-69,-0.23896654963863,0.26,0.083,3.57958891531634e-66
"Lim1",3.02478194869511e-67,-1.85735681611934,0.238,0.373,6.04956389739023e-64
"SMC2",1.18567210920974e-64,0.508902149534495,0.281,0.103,2.37134421841947e-61
"N",4.30767504060079e-63,1.23649151084455,0.42,0.197,8.61535008120158e-60
"Nap1",7.46135344283887e-63,0.787398356029308,0.432,0.182,1.49227068856777e-59
"CG14989",1.18643184343689e-62,-1.74763631132386,0.307,0.438,2.37286368687377e-59
"pnt",2.99390517346004e-62,0.379235240316536,0.265,0.089,5.98781034692008e-59
"CG3226",3.81048380152391e-62,0.371779698514906,0.339,0.153,7.62096760304781e-59
"His3.3A",1.78623713258744e-60,0.587059319559295,0.648,0.362,3.57247426517488e-57
"p23",4.60547654755184e-60,0.835511082740346,0.524,0.253,9.21095309510368e-57
"Ets65A",1.74694704720466e-59,-0.251885424526823,0.079,0.158,3.49389409440932e-56
"SIFa",5.42814391792911e-59,0.181560970614322,0.26,0.092,1.08562878358582e-55
"eg",1.76903534186207e-58,0.355705772495561,0.297,0.141,3.53807068372414e-55
"CG31176",3.27128873320336e-58,-0.395996687013645,0.072,0.156,6.54257746640672e-55
"Mcm7",5.29111184720524e-57,1.24820921810344,0.413,0.216,1.05822236944105e-53
"Nph",1.65827728215181e-56,0.722647093681884,0.647,0.386,3.31655456430363e-53
"smt3",2.29565521330873e-56,0.419446935640405,0.987,0.911,4.59131042661746e-53
"E(spl)m3-HLH",2.31746456307711e-56,0.197191128981688,0.246,0.072,4.63492912615421e-53
"lncRNA:CR44272",4.08499541760627e-56,-2.3758751677355,0.304,0.427,8.16999083521255e-53
"yuri",7.03159069929639e-56,0.184307834160094,0.294,0.14,1.40631813985928e-52
"CG8861",2.92667558350195e-55,-0.113975705042008,0.267,0.104,5.85335116700391e-52
"kn",3.02471072781025e-54,-1.66987051687082,0.251,0.364,6.0494214556205e-51
"Fkbp39",6.71428992867333e-54,0.929873655555616,0.464,0.234,1.34285798573467e-50
"emb",6.92606850824714e-54,0.606070508294237,0.757,0.499,1.38521370164943e-50
"D",8.46521902117266e-54,1.04762764083253,0.394,0.201,1.69304380423453e-50
"Pex7",6.41571352521756e-53,0.785992134868287,0.364,0.204,1.28314270504351e-49
"Cdk1",9.73965066154464e-52,0.454967046822509,0.293,0.109,1.94793013230893e-48
"CG7607",1.02961735285516e-51,-0.205057136803846,0.275,0.124,2.05923470571032e-48
"Ote",2.66555003631578e-51,0.279781900877909,0.279,0.12,5.33110007263156e-48
"ORMDL",8.25760375920313e-51,-0.123775694566588,0.266,0.118,1.65152075184063e-47
"retn",6.20668851917815e-50,0.167216861342962,0.207,0.053,1.24133770383563e-46
"CG2246",6.4456271931197e-50,0.401271204559307,0.35,0.194,1.28912543862394e-46
"Ahcy",4.84427754376774e-49,0.34779314754539,0.269,0.105,9.68855508753548e-46
"Dll",5.88183807762362e-49,0.225170940861258,0.22,0.058,1.17636761552472e-45
"CBP",6.0360080052909e-49,0.779292214252392,0.308,0.125,1.20720160105818e-45
"Ran",6.31097242722837e-49,0.606013512639719,0.506,0.283,1.26219448544567e-45
"Vha36-3",9.09036965789737e-49,-0.117398068469956,0.046,0.108,1.81807393157947e-45
"Adf1",1.79892097843344e-47,0.623634960496728,0.357,0.177,3.59784195686688e-44
"CycE",5.96213226396126e-47,1.47832545073277,0.36,0.168,1.19242645279225e-43
"mod",4.71279746223948e-46,0.555679041204483,0.342,0.163,9.42559492447897e-43
"E23",1.00457832293319e-45,0.272773223275703,0.252,0.089,2.00915664586638e-42
"Hat1",1.01086894712307e-45,0.163026900167015,0.316,0.161,2.02173789424614e-42
"eEF1beta",1.70901054240995e-45,0.552995573621357,0.621,0.397,3.41802108481991e-42
"Cyp1",5.7039227142418e-45,0.598066606482307,0.719,0.466,1.14078454284836e-41
"CG4409",1.31569685262424e-44,-0.178375506712855,0.244,0.095,2.63139370524848e-41
"CG42806",1.39036853821996e-44,0.69482541733099,0.375,0.211,2.78073707643992e-41
"mRpL34",2.2906084349396e-44,0.726849590153798,0.393,0.213,4.58121686987919e-41
"dup",2.83246658343439e-44,0.189461237847932,0.238,0.088,5.66493316686879e-41
"Ts",6.14110827617007e-44,0.278812223091919,0.229,0.075,1.22822165523401e-40
"Fer2LCH",1.76245552526193e-43,0.556062720256453,0.693,0.462,3.52491105052387e-40
"how",2.98590056291619e-43,0.447308504765341,0.291,0.131,5.97180112583239e-40
"Nup205",6.33309483513759e-43,0.19014600433394,0.203,0.055,1.26661896702752e-39
"msd5",6.93615836395906e-43,0.127469894194609,0.229,0.063,1.38723167279181e-39
"CG1943",8.11107243551448e-43,0.632454476683752,0.331,0.162,1.6222144871029e-39
"sick",1.16772527185909e-42,-1.15839920213024,0.216,0.298,2.33545054371818e-39
"Rab6",5.77639435658074e-42,0.201995204885784,0.271,0.116,1.15527887131615e-38
"GstD1",5.79760927974067e-42,0.311703959516579,0.365,0.2,1.15952185594813e-38
"cas",3.24027589791589e-41,0.935290115399185,0.385,0.209,6.48055179583178e-38
"ogre",3.32946561817909e-41,0.601700717976518,0.511,0.307,6.65893123635818e-38
"vig2",1.27465425513683e-40,0.194844284102192,0.374,0.206,2.54930851027365e-37
"sr",1.34414935017436e-40,-0.224702728726626,0.288,0.144,2.68829870034871e-37
"CG14434",3.00354639517974e-40,0.73992942956043,0.301,0.142,6.00709279035949e-37
"Unc-76",4.43924782354076e-40,-0.316966024579827,0.111,0.169,8.87849564708152e-37
"Nop60B",5.9206497108606e-40,0.444056192019432,0.352,0.167,1.18412994217212e-36
"cdc14",8.99472312137598e-40,-0.488104756779313,0.11,0.173,1.7989446242752e-36
"lncRNA:CR31044",1.24799200615083e-39,0.840949275910689,0.279,0.111,2.49598401230167e-36
"Drat",1.2861720803078e-38,0.685004034370606,0.631,0.435,2.57234416061561e-35
"Arc1",3.70312160753086e-38,-0.126169052768375,0.23,0.091,7.40624321506173e-35
"disco-r",3.88277764269432e-38,1.04088310193582,0.299,0.141,7.76555528538865e-35
"CG34325",3.9712159430576e-38,-0.101767289721417,0.194,0.065,7.94243188611521e-35
"CG31869",9.2318210099224e-38,0.286596929279216,0.295,0.15,1.84636420198448e-34
"Antp",1.07141189432225e-37,-1.35662583572585,0.292,0.395,2.1428237886445e-34
"CG13690",4.1473676217535e-37,0.482267460145634,0.307,0.16,8.294735243507e-34
"slp1",5.10662797430331e-37,0.815757764100987,0.353,0.206,1.02132559486066e-33
"spdo",9.33349596027575e-37,0.599549504358491,0.249,0.088,1.86669919205515e-33
"CG15093",2.46006188123868e-36,0.136786345351464,0.291,0.162,4.92012376247736e-33
"CG6701",1.51760789621867e-35,0.940145058781616,0.345,0.19,3.03521579243733e-32
"glu",1.60027909855192e-35,0.605437610552789,0.265,0.114,3.20055819710383e-32
"eIF2beta",1.99998156624146e-35,0.446873966204054,0.698,0.484,3.99996313248291e-32
"E(spl)m4-BFM",2.06036648615901e-35,0.177383463414015,0.281,0.136,4.12073297231802e-32
"dpa",4.58020757096627e-35,0.711413064501237,0.322,0.193,9.16041514193253e-32
"Btk29A",6.75654892730254e-35,-1.45454102594547,0.265,0.35,1.35130978546051e-31
"CG34445",1.14770426926625e-34,-0.144696211421233,0.274,0.136,2.29540853853249e-31
"Ilp5",1.31433753723996e-34,0.404189973604496,0.359,0.213,2.62867507447993e-31
"CG10226",5.60278584871704e-34,-0.10144883980922,0.169,0.047,1.12055716974341e-30
"sta",6.97399697934276e-34,0.45574639118345,0.886,0.692,1.39479939586855e-30
"tap",2.227941158076e-33,0.369543943522035,0.316,0.183,4.455882316152e-30
"CG9691",4.2100688572705e-33,-0.24268875826504,0.069,0.12,8.42013771454101e-30
"RpL34a",4.50356951171725e-33,0.252457739378446,0.441,0.271,9.0071390234345e-30
"noc",5.32867338992307e-33,0.347699532426581,0.312,0.174,1.06573467798461e-29
"nkd",8.31756063308678e-33,-1.22579093523794,0.359,0.442,1.66351212661736e-29
"Hr51",1.51661570650888e-32,-0.254024345971072,0.153,0.195,3.03323141301776e-29
"NetA",1.62773028765171e-32,-0.116462315165244,0.216,0.095,3.25546057530342e-29
"jigr1",4.97578186610295e-32,0.84584322205729,0.452,0.27,9.95156373220589e-29
"CG2918",5.29515309118042e-32,0.246815777620414,0.249,0.111,1.05903061823608e-28
"Hsp68",1.68004476973323e-31,0.901851859442384,0.389,0.219,3.36008953946646e-28
"Hsp23",1.7515588741833e-31,0.425352639217765,0.364,0.191,3.50311774836659e-28
"CG13029",2.12765432571337e-31,0.140635834890544,0.184,0.038,4.25530865142674e-28
"CG11791",2.17434182499324e-31,-0.119636454650347,0.246,0.103,4.34868364998648e-28
"bi",3.69072288325242e-31,0.522334182866885,0.454,0.26,7.38144576650484e-28
"Act57B",3.7178354630562e-31,0.21264808270547,0.257,0.12,7.4356709261124e-28
"CG1764",3.77737191601947e-31,-0.151238364408927,0.26,0.13,7.55474383203894e-28
"Gdh",5.07631975860434e-31,0.202622871496411,0.305,0.16,1.01526395172087e-27
"lncRNA:CR31386",5.82760851648412e-31,1.16413066452161,0.333,0.182,1.16552170329682e-27
"CG11180",8.61624983219997e-31,0.258907990128783,0.262,0.132,1.72324996643999e-27
"svp",6.79495021975413e-30,0.541930268714282,0.338,0.182,1.35899004395083e-26
"MRG15",9.84775389921023e-30,0.323443477373987,0.283,0.142,1.96955077984205e-26
"mab-21",1.15992906255387e-29,-0.12833052304195,0.298,0.16,2.31985812510774e-26
"His3.3B",1.74821856782073e-29,0.370658455348488,0.886,0.724,3.49643713564147e-26
