"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"bowl",0,-2.47661668307926,0.337,0.676,0
"fru",0,-2.47967681588502,0.415,0.806,0
"lncRNA:roX1",5.85186778312942e-288,1.72693692156807,0.707,0.285,1.17037355662588e-284
"ft",2.7025460596723e-283,-2.32295076054006,0.292,0.667,5.40509211934461e-280
"His3.3B",1.13431078578159e-267,0.933093071750991,0.991,0.953,2.26862157156319e-264
"aop",1.03118640153332e-252,-1.75386078154229,0.221,0.601,2.06237280306665e-249
"dally",3.03063430648526e-249,-1.52535256777087,0.59,0.86,6.06126861297052e-246
"Tis11",3.95102619029297e-249,-1.69829021762599,0.429,0.754,7.90205238058594e-246
"RpL41",4.00498499189218e-248,-0.422776142183276,1,1,8.00996998378437e-245
"fog",1.3433869365815e-236,-0.156928346801956,0.043,0.311,2.68677387316299e-233
"lncRNA:CR30009",5.92415147963388e-232,2.31370225147783,0.591,0.292,1.18483029592678e-228
"Hsp27",3.2979744585433e-223,0.708423291938884,0.994,0.974,6.59594891708659e-220
"Brd",8.44775064090588e-223,-2.08521493703508,0.113,0.483,1.68955012818118e-219
"lncRNA:CR45388",2.52736908643093e-214,1.51009915575193,0.819,0.632,5.05473817286186e-211
"heph",3.6142199900498e-214,-1.61793761172997,0.417,0.742,7.2284399800996e-211
"crb",3.42075722887716e-211,-0.779984555262697,0.138,0.412,6.84151445775431e-208
"lncRNA:CR34335",9.59101719906165e-205,0.341831978719069,1,1,1.91820343981233e-201
"CycE",3.31948060683922e-192,1.79116309250389,0.715,0.481,6.63896121367844e-189
"AdamTS-B",4.3534933498012e-189,-1.3068373754914,0.25,0.525,8.70698669960241e-186
"RR48361-transposable-element",5.51825788120326e-189,-0.186172661423329,0.049,0.294,1.10365157624065e-185
"Eip74EF",2.09506994692213e-187,-0.240077019985084,0.04,0.31,4.19013989384426e-184
"E(spl)m3-HLH",2.14185399957692e-187,-2.04306936177693,0.306,0.557,4.28370799915383e-184
"tai",8.83407242733257e-185,-1.13060115567465,0.603,0.856,1.76681448546651e-181
"CG12581",7.66326297705138e-182,-0.628532170294636,0.164,0.409,1.53265259541028e-178
"klu",2.8031725664558e-174,2.27297832695347,0.513,0.282,5.60634513291161e-171
"Ocho",2.23065364402279e-173,-1.77010978695329,0.256,0.513,4.46130728804558e-170
"Cht2",7.3863552016496e-168,-0.314714338134004,0.118,0.352,1.47727104032992e-164
"jbug",8.55378777035661e-167,-1.73306861784421,0.158,0.498,1.71075755407132e-163
