"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fas2",1.30440244300264e-27,0.983763673693683,0.838,0.412,1.66937424655478e-23,"atlas_24h_alh","Fas2"
"cib",2.78063356672021e-19,0.601029198159348,0.985,0.869,3.55865483868852e-15,"atlas_24h_alh","cib"
"Imp",1.56354314927635e-17,1.02294825255455,0.917,0.633,2.00102252244387e-13,"atlas_24h_alh","Imp"
"Rbp6",3.4895287867382e-16,0.658304256889951,0.643,0.256,4.46589894126755e-12,"atlas_24h_alh","Rbp6"
"BtbVII",7.23660541484369e-16,0.51111624564749,0.546,0.19,9.26140760991695e-12,"atlas_24h_alh","BtbVII"
"RpL34b",2.38284452195483e-15,0.382699807380974,0.99,0.889,3.04956441919779e-11,"atlas_24h_alh","RpL34b"
"RpLP0",4.16534205520706e-15,0.413057081132297,0.981,0.792,5.330804762254e-11,"atlas_24h_alh","RpLP0"
"Rack1",4.99452956681118e-15,0.442212324740526,0.971,0.73,6.39199893960495e-11,"atlas_24h_alh","Rack1"
"SoxN",1.19216387661676e-14,0.499562717808404,0.965,0.837,1.52573132929413e-10,"atlas_24h_alh","SoxN"
"Roc2",1.234279897931e-14,0.436831884096795,0.6,0.232,1.5796314133721e-10,"atlas_24h_alh","Roc2"
"beat-IIa",1.725716307337e-14,0.653104477324031,0.285,0.052,2.20857173012989e-10,"atlas_24h_alh","beat-IIa"
"SP1173",1.79456556877899e-14,0.532225730716155,0.505,0.18,2.29668501492335e-10,"atlas_24h_alh","SP1173"
"mspo",1.82184480786415e-14,0.565106497611319,0.437,0.138,2.33159698510454e-10,"atlas_24h_alh","mspo"
"CG14817",2.07087350519703e-14,0.474176253956564,0.617,0.253,2.65030391195116e-10,"atlas_24h_alh","CG14817"
"fru",2.39169449370876e-14,0.478410302119569,0.959,0.74,3.06089061304848e-10,"atlas_24h_alh","fru"
"CG32369",2.39268548480696e-14,0.492537069915811,0.252,0.035,3.06215888345595e-10,"atlas_24h_alh","CG32369"
"Pat1",2.55397512109417e-14,0.485882504752547,0.753,0.353,3.26857735997632e-10,"atlas_24h_alh","Pat1"
"Ldh",2.79642437758159e-14,0.835290475345673,0.837,0.484,3.57886391842892e-10,"atlas_24h_alh","Ldh"
"Rbfox1",3.50373183534392e-14,0.491944611397846,0.965,0.723,4.48407600287314e-10,"atlas_24h_alh","Rbfox1"
"chinmo",6.72547335208624e-14,0.458953560355616,0.795,0.412,8.60726079599997e-10,"atlas_24h_alh","chinmo"
"mt:tRNA:Arg-TCG",6.98721954407696e-14,0.455841468889164,0.62,0.263,8.94224357250969e-10,"atlas_24h_alh","mt:tRNA:Arg-TCG"
"RpS10b",1.08569716649674e-13,0.433263039799308,0.967,0.747,1.38947523368252e-09,"atlas_24h_alh","RpS10b"
"dally",3.48757114435156e-13,0.522888879467392,0.606,0.27,4.46339355054113e-09,"atlas_24h_alh","dally"
"RpS19a",8.58345565181026e-13,0.387961235538493,0.98,0.813,1.09851065431868e-08,"atlas_24h_alh","RpS19a"
"CG42258",1.61122291669846e-12,0.34755613031602,0.413,0.135,2.06204308879069e-08,"atlas_24h_alh","CG42258"
"Alk",1.6924260611095e-12,0.497731946551977,0.381,0.121,2.16596687300794e-08,"atlas_24h_alh","Alk"
"Toll-7",1.78118741832588e-12,0.625567696786002,0.798,0.478,2.27956365797346e-08,"atlas_24h_alh","Toll-7"
"Pp2C1",2.04589675989678e-12,0.37193466288912,0.646,0.277,2.6183386733159e-08,"atlas_24h_alh","Pp2C1"
"sbb",2.23461210033148e-12,0.454082231571959,0.959,0.747,2.85985656600423e-08,"atlas_24h_alh","sbb"
"DIP1",2.66002729639936e-12,0.388828854441725,0.705,0.336,3.40430293393189e-08,"atlas_24h_alh","DIP1"
"trv",2.82915397791032e-12,0.537186738574043,0.549,0.235,3.62075126092962e-08,"atlas_24h_alh","trv"
"luna",3.37604655716336e-12,0.369416789780724,0.311,0.08,4.32066438385767e-08,"atlas_24h_alh","luna"
"Ten-a",3.3784963879029e-12,0.359518954375561,0.518,0.208,4.32379967723813e-08,"atlas_24h_alh","Ten-a"
"nSyb",5.64138632927103e-12,0.509698619444253,0.381,0.128,7.21984622420106e-08,"atlas_24h_alh","nSyb"
"lbk",6.22659942953287e-12,0.444410086113081,0.681,0.318,7.96880194991616e-08,"atlas_24h_alh","lbk"
"wge",7.01513373403883e-12,0.404238344876982,0.53,0.208,8.97796815282289e-08,"atlas_24h_alh","wge"
"mt:tRNA:Ser-GCT",9.81993706446287e-12,0.439282350710198,0.766,0.394,1.25675554550996e-07,"atlas_24h_alh","mt:tRNA:Ser-GCT"
"Trf2",1.25785093387586e-11,0.390453281059085,0.969,0.799,1.60979762517432e-07,"atlas_24h_alh","Trf2"
"Mnn1",1.9153284760262e-11,0.392738973559478,0.655,0.308,2.45123738361834e-07,"atlas_24h_alh","Mnn1"
"kst",3.41982995671406e-11,0.339131800322724,0.389,0.131,4.37669837860265e-07,"atlas_24h_alh","kst"
"Sap47",3.55673083466116e-11,0.50543382544191,0.793,0.446,4.55190412219935e-07,"atlas_24h_alh","Sap47"
"CG12991",4.65025340345958e-11,0.451019457372847,0.303,0.087,5.95139430574757e-07,"atlas_24h_alh","CG12991"
"dpr9",6.05957338985717e-11,0.419709085500984,0.297,0.083,7.75504202433921e-07,"atlas_24h_alh","dpr9"
"Toll-6",6.58078270892864e-11,0.406119830114815,0.48,0.201,8.42208571088688e-07,"atlas_24h_alh","Toll-6"
"Pal2",9.16895085382421e-11,0.401349906479113,0.252,0.059,1.17344233027242e-06,"atlas_24h_alh","Pal2"
"rdx",9.95732086957656e-11,0.6345796435105,0.408,0.163,1.27433792488841e-06,"atlas_24h_alh","rdx"
"CG42806",1.09482428140698e-10,0.532916316324507,0.87,0.606,1.40115611534465e-06,"atlas_24h_alh","CG42806"
"Pex7",1.11909400250706e-10,0.385706887220857,0.748,0.426,1.43221650440853e-06,"atlas_24h_alh","Pex7"
"tai",1.14082345402593e-10,0.431141058553454,0.902,0.592,1.46002585646239e-06,"atlas_24h_alh","tai"
"CG14989",1.65575573707383e-10,0.519866530474384,0.364,0.128,2.11903619230708e-06,"atlas_24h_alh","CG14989"
"cpo",1.99639799566887e-10,0.359148716549029,0.339,0.111,2.55499015485701e-06,"atlas_24h_alh","cpo"
"nAChRalpha6",2.00532633365916e-10,0.359651497560273,0.447,0.18,2.56641664181699e-06,"atlas_24h_alh","nAChRalpha6"
"CG17078",2.64015703086415e-10,0.37957640938514,0.274,0.076,3.37887296809994e-06,"atlas_24h_alh","CG17078"
"TfIIS",3.19440013184449e-10,0.22046699249925,0.443,0.17,4.08819328873458e-06,"atlas_24h_alh","TfIIS"
"fz2",3.76591952085302e-10,0.455254785203403,0.645,0.322,4.8196238027877e-06,"atlas_24h_alh","fz2"
"AhcyL1",5.01786016978296e-10,0.378228570801465,0.617,0.287,6.42185744528823e-06,"atlas_24h_alh","AhcyL1"
"eEF1beta",6.42357843507761e-10,0.296533105198058,0.971,0.827,8.22089568121233e-06,"atlas_24h_alh","eEF1beta"
"RpL18",6.85207537387066e-10,0.299728269909933,0.988,0.879,8.76928606347967e-06,"atlas_24h_alh","RpL18"
"Chchd2",7.7292972019077e-10,0.33940824619052,0.664,0.332,9.89195455900147e-06,"atlas_24h_alh","Chchd2"
"for",7.76451974452624e-10,0.402581514755371,0.295,0.093,9.93703236904468e-06,"atlas_24h_alh","for"
"mRpL27",9.63755367157928e-10,0.231228586941103,0.483,0.197,1.23341411888872e-05,"atlas_24h_alh","mRpL27"
"eIF2Bgamma",9.92531049499154e-10,0.336801047854117,0.31,0.1,1.27024123714902e-05,"atlas_24h_alh","eIF2Bgamma"
"not",1.07563590848568e-09,0.291017439706279,0.339,0.118,1.37659883567998e-05,"atlas_24h_alh","not"
"RapGAP1",1.18295829819762e-09,0.469922186932088,0.279,0.087,1.51395003003332e-05,"atlas_24h_alh","RapGAP1"
"dsh",1.28934347474697e-09,0.391680438998912,0.897,0.567,1.65010177898117e-05,"atlas_24h_alh","dsh"
"Rtnl1",1.32474109475474e-09,0.246402618634465,0.37,0.135,1.69540365306712e-05,"atlas_24h_alh","Rtnl1"
"CG1440",1.33198901070997e-09,0.343375029945183,0.559,0.253,1.70467953590662e-05,"atlas_24h_alh","CG1440"
"hoe1",1.36656106805801e-09,0.426623867119894,0.24,0.062,1.74892485490064e-05,"atlas_24h_alh","hoe1"
"GstD1",1.4003200486453e-09,0.32867933266997,0.71,0.401,1.79212959825625e-05,"atlas_24h_alh","GstD1"
"Mnt",1.48775164398219e-09,0.218196825618568,0.352,0.128,1.90402455396841e-05,"atlas_24h_alh","Mnt"
"CstF64",1.52632829757578e-09,0.33770203427841,0.271,0.08,1.95339495523748e-05,"atlas_24h_alh","CstF64"
"mt:ATPase6",1.77819499082559e-09,0.29222824969344,0.98,0.862,2.27573394925859e-05,"atlas_24h_alh","mt:ATPase6"
"chrb",1.78671858612407e-09,0.451365431301343,0.828,0.516,2.28664244652159e-05,"atlas_24h_alh","chrb"
