"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG31221",0,2.16698918014651,0.816,0.363,0,"0","CG31221"
"CG32052",0,2.13347626142736,0.408,0.112,0,"0","CG32052"
"jeb",0,1.74837405771273,0.787,0.367,0,"0","jeb"
"Ldh",0,1.72587284883728,0.957,0.624,0,"0","Ldh"
"CG30116",0,1.69192482220429,0.388,0.127,0,"0","CG30116"
"beat-IIa",0,1.64620375804004,0.535,0.24,0,"0","beat-IIa"
"Cbp53E",0,1.61565525794615,0.712,0.341,0,"0","Cbp53E"
"dpr9",0,1.49690788026449,0.605,0.278,0,"0","dpr9"
"dpr14",0,1.47447450376144,0.54,0.22,0,"0","dpr14"
"CG13954",0,1.45118305662843,0.49,0.203,0,"0","CG13954"
"kcc",0,1.43826760254781,0.424,0.157,0,"0","kcc"
"trv",0,1.43405609129072,0.78,0.5,0,"0","trv"
"CG13743",0,1.41008947606686,0.206,0.058,0,"0","CG13743"
"CG44422",0,1.38412513350357,0.497,0.215,0,"0","CG44422"
"sr",0,1.38290077306632,0.327,0.124,0,"0","sr"
"Hsp67Bc",0,1.37772315237204,0.323,0.117,0,"0","Hsp67Bc"
"Pkc53E",0,1.36939886826193,0.473,0.209,0,"0","Pkc53E"
"IA-2",0,1.33509015006112,0.838,0.486,0,"0","IA-2"
"CG11319",0,1.32006084606043,0.314,0.118,0,"0","CG11319"
"Sap47",0,1.31778382425785,0.95,0.638,0,"0","Sap47"
"AstA-R1",0,1.29796610509868,0.142,0.035,0,"0","AstA-R1"
"CCAP-R",0,1.28753995404428,0.171,0.061,0,"0","CCAP-R"
"Lcch3",0,1.25319870226083,0.361,0.143,0,"0","Lcch3"
"heph",0,1.24810100068832,0.399,0.233,0,"0","heph"
"dpr17",0,1.24441849096338,0.296,0.121,0,"0","dpr17"
"Galphao",0,1.24220805825832,0.844,0.519,0,"0","Galphao"
"cpo",0,1.1840189839845,0.553,0.332,0,"0","cpo"
"Alk",0,1.18338572422848,0.802,0.461,0,"0","Alk"
"Ace",0,1.17701228313887,0.396,0.176,0,"0","Ace"
"jdp",0,1.15993961038285,0.331,0.141,0,"0","jdp"
"Pde9",0,1.11145864783405,0.41,0.212,0,"0","Pde9"
"Pdp1",0,1.08317688627023,0.551,0.308,0,"0","Pdp1"
"Nrx-1",0,1.06734767956266,0.345,0.154,0,"0","Nrx-1"
"Frq2",0,1.05174582065076,0.268,0.122,0,"0","Frq2"
"GluRIB",0,1.04289224731575,0.469,0.236,0,"0","GluRIB"
"amon",0,1.03398779567942,0.228,0.094,0,"0","amon"
"pasha",0,1.03279177520478,0.267,0.119,0,"0","pasha"
"Pal2",0,1.02357465087208,0.398,0.199,0,"0","Pal2"
